"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87652","13","85529","2110"
"2","SAS Nagar","68928","43","67814","1071"
"3","Jalandhar","63475","33","61945","1497"
"4","Patiala","48963","20","47583","1360"
"5","Amritsar","47421","8","45815","1598"
"6","Bathinda","41779","29","40707","1043"
"7","Hoshiarpur","30902","33","29878","991"
"8","Gurdaspur","22400","13","21585","802"
"9","Fazilka","20280","5","19746","529"
"10","Pathankot","18915","44","18445","426"
"11","Muktsar","18801","17","18260","524"
"12","Kapurthala","17866","3","17307","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15609","0","15228","381"
"15","Ferozepur","14387","13","13870","504"
"16","Faridkot","13943","5","13621","317"
"17","Ropar","12976","1","12551","424"
"18","SBS Nagar","11472","0","11084","388"
"19","FG Sahib","8901","14","8551","336"
"20","Moga","8682","2","8446","234"
"21","Tarn Taran","8058","7","7670","381"
"22","Barnala","5954","8","5702","244"
"","Total","603132","314","586227","16591"
