"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","16940","16663","13","264"
"2","Chengalpattu","174697","171595","558","2544"
"3","Chennai","560080","550100","1342","8638"
"4","Coimbatore","252129","248500","1136","2493"
"5","Cuddalore","64502","63561","67","874"
"6","Dharmapuri","28930","28580","71","279"
"7","Dindigul","33300","32610","38","652"
"8","Erode","107199","105911","582","706"
"9","Kallakurichi","31591","31360","21","210"
"10","Kancheepuram","75919","74452","202","1265"
"11","Kanyakumari","62979","61784","134","1061"
"12","Karur","24848","24326","158","364"
"13","Krishnagiri","44023","43535","132","356"
"14","Madurai","75620","74369","65","1186"
"15","Mayiladuthurai","23416","23070","27","319"
"16","Nagapattinam","21408","21004","46","358"
"17","Namakkal","54212","53250","446","516"
"18","Nilgiris","34338","33956","164","218"
"19","Perambalur","12123","11866","12","245"
"20","Pudukottai","30369","29920","28","421"
"21","Ramanathapuram","20654","20278","17","359"
"22","Ranipet","43651","42818","55","778"
"23","Salem","102074","99898","455","1721"
"24","Sivagangai","20465","20207","48","210"
"25","Tenkasi","27408","26907","15","486"
"26","Thanjavur","76313","75171","139","1003"
"27","Theni","43616","43088","7","521"
"28","Thirupathur","29442","28777","38","627"
"29","Thiruvallur","120599","118494","249","1856"
"30","Thiruvannamalai","55294","54549","72","673"
"31","Thiruvarur","41979","41448","69","462"
"32","Thoothukudi","56544","56104","28","412"
"33","Tirunelveli","49726","49240","52","434"
"34","Tiruppur","98056","96477","565","1014"
"35","Trichy","78735","77458","185","1092"
"36","Vellore","50369","49109","119","1141"
"37","Villupuram","46070","45677","35","358"
"38","Virudhunagar","46417","45855","13","549"
"39","Airport Surveillance 
(International)","1035","1030","4","1"
"40","Airport Surveillance 
(Domestic)","1085","1084","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","27,38,583","26,94,509","7,407","36,667"
