,Unnamed: 0,Unnamed: 0.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,2021-11-02,HP,168,4,233,0,2313,45013,0,0,1274.0,22.0,1216.0,0,13940.0,248109.0,0.0,Bilaspur,4,0,29,,115,2452,0,0,115.0,0.0,87.0,0.0,694.0,14570.0,0,382056,,,,14399,85,14162,,323438,239552,0,1,2021-11-03 09:49,7300000,,,,224419,3745,218861,,5718525,3532452,0,17,17.0,1.0
1,1,1,2021-11-02,HP,168,4,233,0,2313,45013,0,0,1274.0,22.0,1216.0,0,13940.0,248109.0,0.0,Chamba,2,0,4,,258,4636,0,0,21.0,0.0,21.0,0.0,1582.0,21473.0,0,518844,,,,13690,160,13507,,364767,205959,0,2,2021-11-03 09:49,7300000,,,,224419,3745,218861,,5718525,3532452,0,17,17.0,2.0
2,2,2,2021-11-02,HP,168,4,233,0,2313,45013,0,0,1274.0,22.0,1216.0,0,13940.0,248109.0,0.0,Hamirpur,36,0,56,,119,3268,0,0,224.0,4.0,238.0,0.0,747.0,24535.0,0,454293,,,,17443,287,16823,,377577,275698,0,1,2021-11-03 09:49,7300000,,,,224419,3745,218861,,5718525,3532452,0,17,17.0,1.0
3,3,3,2021-11-02,HP,168,4,233,0,2313,45013,0,0,1274.0,22.0,1216.0,0,13940.0,248109.0,0.0,Kangra,67,3,84,,557,9002,0,0,532.0,11.0,497.0,0.0,2886.0,46077.0,0,1507223,,,,50944,1129,49054,,1183698,743208,0,5,2021-11-03 09:49,7300000,,,,224419,3745,218861,,5718525,3532452,0,17,17.0,5.0
4,4,4,2021-11-02,HP,168,4,233,0,2313,45013,0,0,1274.0,22.0,1216.0,0,13940.0,248109.0,0.0,Kinnaur,1,0,0,,11,134,0,0,3.0,0.0,6.0,0.0,62.0,487.0,0,84298,,,,3509,38,3465,,79688,63379,0,0,2021-11-03 09:49,7300000,,,,224419,3745,218861,,5718525,3532452,0,17,17.0,0.0
5,5,5,2021-11-02,HP,168,4,233,0,2313,45013,0,0,1274.0,22.0,1216.0,0,13940.0,248109.0,0.0,Kullu,2,0,0,,128,1810,0,0,20.0,0.0,16.0,0.0,805.0,8610.0,0,437474,,,,9699,158,9501,,351537,206946,0,2,2021-11-03 09:49,7300000,,,,224419,3745,218861,,5718525,3532452,0,17,17.0,2.0
6,6,6,2021-11-02,HP,168,4,233,0,2313,45013,0,0,1274.0,22.0,1216.0,0,13940.0,248109.0,0.0,Lahaul and Spiti,0,0,0,,7,102,0,0,0.0,0.0,0.0,0.0,25.0,400.0,0,31528,,,,2953,18,2935,,31931,21194,0,0,2021-11-03 09:49,7300000,,,,224419,3745,218861,,5718525,3532452,0,17,17.0,0.0
7,7,7,2021-11-02,HP,168,4,233,0,2313,45013,0,0,1274.0,22.0,1216.0,0,13940.0,248109.0,0.0,Mandi,16,1,33,,206,5498,0,0,114.0,5.0,137.0,0.0,1210.0,27717.0,0,999518,,,,31636,451,31037,,775668,489405,0,0,2021-11-03 09:49,7300000,,,,224419,3745,218861,,5718525,3532452,0,17,17.0,0.0
8,8,8,2021-11-02,HP,168,4,233,0,2313,45013,0,0,1274.0,22.0,1216.0,0,13940.0,248109.0,0.0,Shimla,13,0,10,,318,7108,0,0,75.0,2.0,57.0,0.0,2261.0,40781.0,0,813384,,,,27563,641,26807,,679108,428841,0,4,2021-11-03 09:49,7300000,,,,224419,3745,218861,,5718525,3532452,0,17,17.0,4.0
9,9,9,2021-11-02,HP,168,4,233,0,2313,45013,0,0,1274.0,22.0,1216.0,0,13940.0,248109.0,0.0,Sirmaur,0,0,0,,289,4578,0,0,1.0,0.0,0.0,0.0,1485.0,24752.0,0,530164,,,,15456,211,15244,,424320,218336,0,0,2021-11-03 09:49,7300000,,,,224419,3745,218861,,5718525,3532452,0,17,17.0,0.0
10,10,10,2021-11-02,HP,168,4,233,0,2313,45013,0,0,1274.0,22.0,1216.0,0,13940.0,248109.0,0.0,Solan,2,0,2,,164,2975,0,0,20.0,0.0,21.0,0.0,1341.0,20836.0,0,576670,,,,22820,314,22476,,691567,346483,0,0,2021-11-03 09:49,7300000,,,,224419,3745,218861,,5718525,3532452,0,17,17.0,0.0
11,11,11,2021-11-02,HP,168,4,233,0,2313,45013,0,0,1274.0,22.0,1216.0,0,13940.0,248109.0,0.0,Una,25,0,15,,141,3450,0,0,149.0,0.0,136.0,0.0,842.0,17871.0,0,521057,,,,14307,253,13850,,435226,293451,0,2,2021-11-03 09:49,7300000,,,,224419,3745,218861,,5718525,3532452,0,17,17.0,2.0
