"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,31,007"
"2","Number of persons tested positive today in Tamil Nadu","23,978"
"","Passengers returned from other states by Road tested 
positive today","Jharkhand - 3 
Bihar - 2 
West Bengal - 2 
Gujarat - 1 
Sikkim - 1 
Kerala - 1 
Telangana - 1"
"","Total","23,989"
"3","Total Number of persons tested positive till date","29,15,948"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,43,536/ 
5,94,07,735@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,39,873/ 
5,84,53,406"
"6","No. of Male / Female / Transgender tested positive today","14,242/9,747/0"
"7","No. of Male / Female / Transgender tested positive till date","17,03,341/12,12,569/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","323 (69 Govt+ 
254$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","10,988/ 
27,47,974"
"10","Total number of deaths today/ till date","11(4 Private &  
7 Govt) /36,967"
