,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10747,10618,129,2023-01-15,TT,44681040,530726,44148165,2023-01-15 16:00:03.478049,913255016,2023-01-14 00:00:00,152825,2201675283,1027249198,951336401,223089684,991263,347616,353284,290363,https://www.icmr.gov.in/,104,0,182,14407,4701,1445,20553,0,0,0,0,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2339078,2324338,14733,2023-01-15,TT,44681040,530726,44148165,2023-01-15 16:00:03.478049,913255016,2023-01-14 00:00:00,152825,2201675283,1027249198,951336401,223089684,110561504,44702378,47572365,18286761,https://www.icmr.gov.in/,104,0,182,14407,4701,1445,20553,25,5,12,42,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,66891,66595,296,2023-01-15,TT,44681040,530726,44148165,2023-01-15 16:00:03.478049,913255016,2023-01-14 00:00:00,152825,2201675283,1027249198,951336401,223089684,1911912,960330,820482,131100,https://www.icmr.gov.in/,104,0,182,14407,4701,1445,20553,0,1,0,1,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746100,738065,8035,2023-01-15,TT,44681040,530726,44148165,2023-01-15 16:00:03.478049,913255016,2023-01-14 00:00:00,152825,2201675283,1027249198,951336401,223089684,50287732,24811682,22132457,3343593,https://www.icmr.gov.in/,104,0,182,14407,4701,1445,20553,10,32,29,71,0,0,0,,,1332900000,Assam,34293000
4,Bihar,851404,839100,12303,2023-01-15,TT,44681040,530726,44148165,2023-01-15 16:00:03.478049,913255016,2023-01-14 00:00:00,152825,2201675283,1027249198,951336401,223089684,157224197,73472858,67889189,15862150,https://www.icmr.gov.in/,104,0,182,14407,4701,1445,20553,201,433,242,876,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,99356,98172,1181,2023-01-15,TT,44681040,530726,44148165,2023-01-15 16:00:03.478049,913255016,2023-01-14 00:00:00,152825,2201675283,1027249198,951336401,223089684,2283488,1185186,986000,112302,https://www.icmr.gov.in/,104,0,182,14407,4701,1445,20553,7,15,30,52,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1177766,1163614,14146,2023-01-15,TT,44681040,530726,44148165,2023-01-15 16:00:03.478049,913255016,2023-01-14 00:00:00,152825,2201675283,1027249198,951336401,223089684,49166716,21267501,20343400,7555815,https://www.icmr.gov.in/,104,0,182,14407,4701,1445,20553,7,7,29,43,0,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11591,11587,4,2023-01-15,TT,44681040,530726,44148165,2023-01-15 16:00:03.478049,913255016,2023-01-14 00:00:00,152825,2201675283,1027249198,951336401,223089684,1579380,782287,636874,160219,https://www.icmr.gov.in/,104,0,182,14407,4701,1445,20553,1,1,3,5,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2007312,1980764,26522,2023-01-15,TT,44681040,530726,44148165,2023-01-15 16:00:03.478049,913255016,2023-01-14 00:00:00,152825,2201675283,1027249198,951336401,223089684,37380058,18293242,15710555,3376261,https://www.icmr.gov.in/,104,0,182,14407,4701,1445,20553,95,122,419,636,3,3,0,,,1332900000,Delhi,19814000
9,Goa,259106,255079,4013,2023-01-15,TT,44681040,530726,44148165,2023-01-15 16:00:03.478049,913255016,2023-01-14 00:00:00,152825,2201675283,1027249198,951336401,223089684,2873264,1439868,1295453,137943,https://www.icmr.gov.in/,104,0,182,14407,4701,1445,20553,5,15,58,78,0,3,0,,,1332900000,Goa,1540000
