"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","10,261"
"2","Number of persons tested positive today in Tamil Nadu","1,092"
"","Passengers returned from other states  by Domestic 
airport/Road tested positive today","Maharashtra-1 
Karnataka-1"
"","Total","1,094"
"3","Total Number of persons tested positive till date","35,51,641"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","28,219/ 
6,83,21,026@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","27,742/ 
6,71,14,904"
"6","No. of Male / Female / Transgender tested positive today","650/444/0"
"7","No. of Male / Female / Transgender tested positive till date","20,70,947/14,80,656/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","346 (77 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,431/ 
35,03,347"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,033"
