"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19883","19616","0","267"
"2","Chengalpattu","236295","233429","208","2658"
"3","Chennai","753400","743648","684","9068"
"4","Coimbatore","330135","327462","56","2617"
"5","Cuddalore","74275","73376","4","895"
"6","Dharmapuri","36196","35910","3","283"
"7","Dindigul","37481","36815","1","665"
"8","Erode","132689","131942","13","734"
"9","Kallakurichi","36524","36307","2","215"
"10","Kancheepuram","94553","93190","61","1302"
"11","Kanyakumari","86263","85158","20","1085"
"12","Karur","29758","29386","0","372"
"13","Krishnagiri","59651","59279","2","370"
"14","Madurai","91069","89820","13","1236"
"15","Mayiladuthurai","26498","26168","0","330"
"16","Nagapattinam","25443","25068","0","375"
"17","Namakkal","68013","67477","2","534"
"18","Nilgiris","42149","41909","14","226"
"19","Perambalur","14463","14212","2","249"
"20","Pudukottai","34476","34047","3","426"
"21","Ramanathapuram","24683","24314","1","368"
"22","Ranipet","53944","53151","6","787"
"23","Salem","127414","125641","11","1762"
"24","Sivagangai","23842","23621","2","219"
"25","Tenkasi","32747","32257","0","490"
"26","Thanjavur","92171","91130","2","1039"
"27","Theni","50604","50071","0","533"
"28","Thirupathur","35738","35105","0","633"
"29","Thiruvallur","147620","145624","57","1939"
"30","Thiruvannamalai","66817","66130","2","685"
"31","Thiruvarur","48022","47546","4","472"
"32","Thoothukudi","64976","64523","5","448"
"33","Tirunelveli","62788","62335","8","445"
"34","Tiruppur","129945","128889","4","1052"
"35","Trichy","94990","93816","13","1161"
"36","Vellore","57333","56165","5","1163"
"37","Villupuram","54591","54222","3","366"
"38","Virudhunagar","56845","56288","3","554"
"39","Airport Surveillance 
(International)","1298","1284","13","1"
"40","Airport Surveillance 
(Domestic)","1123","1118","4","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,57,133","34,17,877","1,231","38,025"
