"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","471","490","232657","0","12231","244888","684"
"Bageshwar","407","556","206780","0","5766","212546","343"
"Chamoli","270","90","285950","0","12249","298199","527"
"Champawat","1311","115","242550","1","7615","250165","2390"
"Dehradun","2089","1289","1888987","11","112623","2001610","640"
"Haridwar","5167","4525","2125268","0","51564","2176832","1470"
"Nainital","1223","1635","549574","0","39324","588898","193"
"Pauri Garhwal","975","1146","392741","0","17731","410472","391"
"Pithoragarh","748","22","216927","0","10270","227197","1469"
"Rudraprayag","355","137","193375","0","8805","202180","694"
"Tehri Garhwal","333","70","298448","0","15840","314288","621"
"US Nagar","2571","1476","911490","0","37891","949381","1006"
"Uttarkashi","446","437","336825","0","12562","349387","291"
"Total","16366","11988","7881572","12","344471","8226043","10719"
