"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 31-08-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"","1  Gurugram","125","550","298874","297303[217]","99.47","1021","82","251","1832","5673022"
"2","Faridabad","20","197","135388","134450[53]","99.31","741","48","93","425","4167028"
"3","Hisar","10","73","63726","62474[27]","98.04","1179","15","74","159","2420754"
"4","Sonipat","16","71","59527","59180[13]","99.42","276","32","248","278","2349717"
"5","Karnal","2","32","49821","49189[12]","98.73","600","24","73","154","2455179"
"6","Panchkula","16","78","48177","47679[25]","98.97","420","2","42","137","1174672"
"7","Ambala","7","81","42705","42082[14]","98.54","542","31","90","108","2201274"
"8","Panipat","4","42","36704","35985[15]","98.04","677","107","263","668","2122891"
"9","Sirsa","10","46","34142","33551[16]","98.27","545","14","115","195","1981568"
"10  Rohtak","","6","74","33085","32457[11]","98.10","537","6","145","307","1806052"
"","11  Yamunanagar","9","18","32520","32044[18]","98.54","458","48","223","241","2029210"
"","12  Kurukshetra","1","23","27761","27333[6]","98.46","405","8","69","230","1618728"
"13  Bhiwani","","4","38","27101","26396[12]","97.40","667","9","118","151","1874151"
"14","Jind","0","29","25361","24790[11]","97.75","542","4","24","267","1772729"
"","15  Mahendragarh","0","11","24991","24815","99.30","165","6","55","220","1439397"
"16  Rewari","","5","12","24950","24714[4]","99.05","224","5","20","184","1621919"
"17","Jhajjar","6","29","24059","23671[10]","98.39","353","17","34","143","1628294"
"18  Fatehabad","","1","22","20279","19758[4]","97.43","499","60","36","61","1211174"
"19  Kaithal","","4","25","15157","14758[10]","97.37","374","57","68","1033","1875434"
"20  Palwal","","1","18","13648","13457[4]","98.60","173","18","69","365","1573577"
"21","Charkhi Dadri","0","42","7985","7797[10]","97.65","146","37","13","363","947548"
"22  Nuh","","0","3","6164","6022","97.70","139","2","7","54","1226891"
"Haryana","","247","1514","1052125","1039905 [492]","98.84","10683","632","2130","7575","45171209"
