"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","68","46","494"
"Kollam","23","16","92"
"Pathanamthitta","16","29","133"
"Alappuzha","12","10","102"
"Kottayam","29","43","292"
"Idukki","19","19","81"
"Ernakulam","95","75","686"
"Thrissur","24","21","33"
"Palakkad","9","2","45"
"Malappuram","7","11","113"
"Kozhikode","33","31","195"
"Wayanad","7","9","41"
"Kannur","9","8","34"
"Kasaragod","2","5","10"
"Total","353","325","2351"
