"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","276","1120173","2","19632"
"2","Thane","21","119966","0","2289"
"3","TMC","45","198630","0","2173"
"4","Navi Mumbai","68","175813","0","2093"
"5","KDMC","19","178774","0","2976"
