"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"1","Mumbai","1120173","1098241","19632","2300"
"2","Thane","792240","779029","11941","1270"
"3","Palghar","166741","163123","3417","201"
"4","Raigad","251850","246448","4955","447"
"5","Ratnagiri","85009","82362","2549","98"
"6","Sindhudurg","57546","55949","1535","62"
"7","Pune","1479128","1453026","20557","5545"
"8","Satara","279117","272125","6724","268"
"9","Sangli","227644","221812","5666","166"
"10","Kolhapur","220869","214832","5907","130"
"11","Solapur","228009","221800","5887","322"
"12","Nashik","475090","465510","8915","665"
"13","Ahmednagar","378713","371068","7245","400"
"14","Jalgaon","149922","147096","2762","64"
"15","Nandurbar","46715","45723","963","29"
"16","Dhule","51046","50269","670","107"
"17","Aurangabad","177691","173038","4288","365"
"18","Jalna","67024","65575","1224","225"
"19","Beed","109386","106452","2885","49"
"20","Latur","105402","102778","2489","135"
"21","Parbhani","58647","57352","1279","16"
"22","Hingoli","22297","21725","514","58"
"23","Nanded","102876","100124","2704","48"
"24","Osmanabad","75606","73307","2139","160"
