"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"25","Amravati","106332","104574","1625","133"
"26","Akola","66630","65026","1471","133"
"27","Washim","46650","45754","641","255"
"28","Buldhana","92463","91417","836","210"
"29","Yavatmal","82259","80359","1820","80"
"30","Nagpur","579980","569579","9215","1186"
"31","Wardha","65903","64419","1408","76"
"32","Bhandara","68408","67097","1142","169"
"33","Gondia","45536","44912","587","37"
"34","Chandrapur","99187","97516","1593","78"
"35","Gadchiroli","37158","36392","728","38"
"","Other states/country","144","31","113","0"
"","Total","8019391","7855840","148026","15525"
