,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_statetested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-10-28,GJ,Ahmedabad,,,,,3411,234882,5282830,,,,,10085,816061,30740538
1,2021-10-28,GJ,Amreli,,,,,102,10708,590262,,,,,10085,816061,30740538
2,2021-10-28,GJ,Anand,,,,,49,9580,533652,,,,,10085,816061,30740538
3,2021-10-28,GJ,Aravalli,,,,,78,5108,359870,,,,,10085,816061,30740538
4,2021-10-28,GJ,Banaskantha,,,,,162,13469,831954,,,,,10085,816061,30740538
5,2021-10-28,GJ,Bharuch,,,,,118,11308,509500,,,,,10085,816061,30740538
6,2021-10-28,GJ,Bhavnagar,,,,,301,21143,1187078,,,,,10085,816061,30740538
7,2021-10-28,GJ,Botad,,,,,42,2176,252823,,,,,10085,816061,30740538
8,2021-10-28,GJ,Chhota Udaipur,,,,,38,3357,264284,,,,,10085,816061,30740538
9,2021-10-28,GJ,Dahod,,,,,38,9917,697116,,,,,10085,816061,30740538
10,2021-10-28,GJ,Dang,,,,,18,848,82862,,,,,10085,816061,30740538
11,2021-10-28,GJ,Devbhumi Dwarka,,,,,82,4093,238032,,,,,10085,816061,30740538
12,2021-10-28,GJ,Gandhinagar,,,,,205,20549,825657,,,,,10085,816061,30740538
13,2021-10-28,GJ,Gir Somnath,,,,,67,8499,375637,,,,,10085,816061,30740538
14,2021-10-28,GJ,Jamnagar,,,,,478,34491,877221,,,,,10085,816061,30740538
15,2021-10-28,GJ,Junagadh,,,,,272,20225,804314,,,,,10085,816061,30740538
16,2021-10-28,GJ,Kutch,,,,,145,12473,820804,,,,,10085,816061,30740538
17,2021-10-28,GJ,Kheda,,,,,48,10391,627103,,,,,10085,816061,30740538
18,2021-10-28,GJ,Mahisagar,,,,,72,8122,382234,,,,,10085,816061,30740538
19,2021-10-28,GJ,Mehsana,,,,,177,24242,680296,,,,,10085,816061,30740538
20,2021-10-28,GJ,Morbi,,,,,87,6415,373099,,,,,10085,816061,30740538
21,2021-10-28,GJ,Narmada,,,,,15,5940,272077,,,,,10085,816061,30740538
22,2021-10-28,GJ,Navsari,,,,,24,7173,439379,,,,,10085,816061,30740538
23,2021-10-28,GJ,Panchmahal,,,,,70,11700,551411,,,,,10085,816061,30740538
24,2021-10-28,GJ,Patan,,,,,129,11495,464316,,,,,10085,816061,30740538
25,2021-10-28,GJ,Porbandar,,,,,19,3467,244855,,,,,10085,816061,30740538
26,2021-10-28,GJ,Rajkot,,,,,725,57236,2057099,,,,,10085,816061,30740538
27,2021-10-28,GJ,Sabarkantha,,,,,157,9159,488656,,,,,10085,816061,30740538
28,2021-10-28,GJ,Surat,,,,,1955,141872,6423696,,,,,10085,816061,30740538
29,2021-10-28,GJ,Surendranagar,,,,,136,7985,520803,,,,,10085,816061,30740538
30,2021-10-28,GJ,Tapi,,,,,24,4417,250316,,,,,10085,816061,30740538
31,2021-10-28,GJ,Vadodara,,,,,788,77329,1929667,,,,,10085,816061,30740538
32,2021-10-28,GJ,Valsad,,,,,53,6292,501635,,,,,10085,816061,30740538
