,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_statetested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-10-28,UK,Almora,,,,12189,196,11378,,,,,343869,7400,330173,
1,2021-10-28,UK,Bageshwar,,,,5764,60,5678,,,,,343869,7400,330173,
2,2021-10-28,UK,Chamoli,,,,12242,62,11972,,,,,343869,7400,330173,
3,2021-10-28,UK,Champawat,,,,7602,53,7358,,,,,343869,7400,330173,
4,2021-10-28,UK,Dehradun,,,,112349,3521,108124,,,,,343869,7400,330173,
5,2021-10-28,UK,Haridwar,,,,51495,1019,49094,,,,,343869,7400,330173,
6,2021-10-28,UK,Nainital,,,,39225,944,38135,,,,,343869,7400,330173,
7,2021-10-28,UK,Pauri Garhwal,,,,17686,315,16668,,,,,343869,7400,330173,
8,2021-10-28,UK,Pithoragarh,,,,10259,181,9961,,,,,343869,7400,330173,
9,2021-10-28,UK,Rudraprayag,,,,8800,106,8534,,,,,343869,7400,330173,
10,2021-10-28,UK,Tehri Garhwal,,,,15835,108,14827,,,,,343869,7400,330173,
11,2021-10-28,UK,U.S. Nagar,,,,37875,761,36315,,,,,343869,7400,330173,
12,2021-10-28,UK,Uttarkashi,,,,12548,74,12129,,,,,343869,7400,330173,
