,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinatedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaVaccinatedForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaVaccinatedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaVaccinatedForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinatedNumberForDistrict,last_updated,statePopulation,tested_last_updated_statetested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState
0,2021-10-28,India,,,,,,,,,Andaman and Nicobar,,,,,,,,,,,,,7650,129,7516,,,2021-10-28 23:20:17.698151,,,,34231809,456386,33614434,604498405,1040499873
1,2021-10-28,India,,,,,,,,,Andhra Pradesh,,,,,,,,,,,,,2064854,14364,2045713,,,2021-10-28 23:20:17.698151,,,,34231809,456386,33614434,604498405,1040499873
2,2021-10-28,India,,,,,,,,,Arunachal Pradesh,,,,,,,,,,,,,55120,280,54725,,,2021-10-28 23:20:17.698151,,,,34231809,456386,33614434,604498405,1040499873
3,2021-10-28,India,,,,,,,,,Assam,,,,,,,,,,,,,609506,5987,599681,,,2021-10-28 23:20:17.698151,,,,34231809,456386,33614434,604498405,1040499873
4,2021-10-28,India,,,,,,,,,Bihar,,,,,,,,,,,,,726073,9661,716371,,,2021-10-28 23:20:17.698151,,,,34231809,456386,33614434,604498405,1040499873
5,2021-10-28,India,,,,,,,,,Chandigarh,,,,,,,,,,,,,65331,820,64482,,,2021-10-28 23:20:17.698151,,,,34231809,456386,33614434,604498405,1040499873
6,2021-10-28,India,,,,,,,,,Chhattisgarh,,,,,,,,,,,,,1005926,13575,992088,,,2021-10-28 23:20:17.698151,,,,34231809,456386,33614434,604498405,1040499873
7,2021-10-28,India,,,,,,,,,Dadra and Nagar Haveli and Daman and Diu,,,,,,,,,,,,,10682,4,10672,,,2021-10-28 23:20:17.698151,,,,34231809,456386,33614434,604498405,1040499873
8,2021-10-28,India,,,,,,,,,Delhi,,,,,,,,,,,,,1439709,25091,1414270,,,2021-10-28 23:20:17.698151,,,,34231809,456386,33614434,604498405,1040499873
9,2021-10-28,India,,,,,,,,,Goa,,,,,,,,,,,,,177969,3363,174152,,,2021-10-28 23:20:17.698151,,,,34231809,456386,33614434,604498405,1040499873
