,District,CumulativeConfirmedforDistrict,CumulativeRecoveredforDistrict,CumulativeDeceasedforDistrict,CumulativeTestedforDistrict,DeltaTestedforDistrict,CumulativeConfirmedforState,CumulativeRecoveredforState,CumulativeDeceasedforState,CumulativeTestedforState,DeltaConfirmedforState,DeltaRecoveredforState,DeltaDeceasedforState,DeltaTestedforState,DeltaConfirmedforDistrict,DeltaRecoveredforDistrict,DeltaDeceasedforDistrict,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated1ForState,deltaVaccinated2ForState,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,Date,State/UTCode
0,Andaman and Nicobar Islands,7651,7516,129,594049.0,1301.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,1,0,0,727995519,320480487,2939995,4737646,293776,197293,138,1622,2021-10-28,TT
1,Andhra Pradesh,2065235,2046127,14365,29404281.0,38896.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,381,414,1,727995519,320480487,2939995,4737646,32640320,19769982,228947,323472,2021-10-28,TT
2,Arunachal Pradesh,55134,54739,280,1183878.0,575.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,14,14,0,727995519,320480487,2939995,4737646,770903,528257,638,4443,2021-10-28,TT
3,Assam,609828,600089,5989,24613333.0,39629.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,322,408,2,727995519,320480487,2939995,4737646,20057009,7761516,46323,145979,2021-10-28,TT
4,Bihar,726079,716372,9661,49879683.0,225145.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,6,1,0,727995519,320480487,2939995,4737646,49500062,17788006,714680,1267948,2021-10-28,TT
5,Chandigarh,65335,64486,820,788391.0,1613.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,4,4,0,727995519,320480487,2939995,4737646,924720,538652,473,2791,2021-10-28,TT
6,Chhattisgarh,1005957,992097,13575,13654009.0,23331.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,31,9,0,727995519,320480487,2939995,4737646,14721521,7140220,64436,96625,2021-10-28,TT
7,Delhi,1439751,1414315,25091,29252619.0,63174.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,42,45,0,727995519,320480487,2939995,4737646,12992118,7326723,20463,34908,2021-10-28,TT
8,Dadra and Nagar Haveli and Daman and Diu,10681,10642,4,72410.0,0.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,0,0,0,727995519,320480487,2939995,4737646,660248,367193,389,2009,2021-10-28,TT
9,Goa,178016,174216,3363,1460982.0,2483.0,34245550,33619966,457223,605885769.0,14307,13189,805,1387364,47,64,0,727995519,320480487,2939995,4737646,1258057,887749,831,4911,2021-10-28,TT
