,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_statetested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
1,2021-10-28,AP,Ananthapur,,,,157823,1093,156679,,,,,15782324672829354417795311559311921512412614631313846212303715764182939178966,109319451290123764414278531051112478611276711117,15667924387229131617633611484411698612325314484613687012208615638682208177550,
2,2021-10-28,AP,Chittoor,,,,246728,1945,243872,,,,,15782324672829354417795311559311921512412614631313846212303715764182939178966,109319451290123764414278531051112478611276711117,15667924387229131617633611484411698612325314484613687012208615638682208177550,
3,2021-10-28,AP,East Godavari,,,,293544,1290,291316,,,,,15782324672829354417795311559311921512412614631313846212303715764182939178966,109319451290123764414278531051112478611276711117,15667924387229131617633611484411698612325314484613687012208615638682208177550,
4,2021-10-28,AP,Guntur,,,,177953,1237,176336,,,,,15782324672829354417795311559311921512412614631313846212303715764182939178966,109319451290123764414278531051112478611276711117,15667924387229131617633611484411698612325314484613687012208615638682208177550,
5,2021-10-28,AP,Y.S.R. Kadapa,,,,115593,644,114844,,,,,15782324672829354417795311559311921512412614631313846212303715764182939178966,109319451290123764414278531051112478611276711117,15667924387229131617633611484411698612325314484613687012208615638682208177550,
6,2021-10-28,AP,Krishna,,,,119215,1427,116986,,,,,15782324672829354417795311559311921512412614631313846212303715764182939178966,109319451290123764414278531051112478611276711117,15667924387229131617633611484411698612325314484613687012208615638682208177550,
7,2021-10-28,AP,Kurnool,,,,124126,853,123253,,,,,15782324672829354417795311559311921512412614631313846212303715764182939178966,109319451290123764414278531051112478611276711117,15667924387229131617633611484411698612325314484613687012208615638682208177550,
8,2021-10-28,AP,S.P.S. Nellore,,,,146313,1051,144846,,,,,15782324672829354417795311559311921512412614631313846212303715764182939178966,109319451290123764414278531051112478611276711117,15667924387229131617633611484411698612325314484613687012208615638682208177550,
9,2021-10-28,AP,Prakasam,,,,138462,1124,136870,,,,,15782324672829354417795311559311921512412614631313846212303715764182939178966,109319451290123764414278531051112478611276711117,15667924387229131617633611484411698612325314484613687012208615638682208177550,
10,2021-10-28,AP,Srikakulam,,,,123037,786,122086,,,,,15782324672829354417795311559311921512412614631313846212303715764182939178966,109319451290123764414278531051112478611276711117,15667924387229131617633611484411698612325314484613687012208615638682208177550,
11,2021-10-28,AP,Visakhapatnam,,,,157641,1127,156386,,,,,15782324672829354417795311559311921512412614631313846212303715764182939178966,109319451290123764414278531051112478611276711117,15667924387229131617633611484411698612325314484613687012208615638682208177550,
12,2021-10-28,AP,Vizianagaram,,,,82939,671,82208,,,,,15782324672829354417795311559311921512412614631313846212303715764182939178966,109319451290123764414278531051112478611276711117,15667924387229131617633611484411698612325314484613687012208615638682208177550,
13,2021-10-28,AP,West Godavari,,,,178966,1117,177550,,,,,15782324672829354417795311559311921512412614631313846212303715764182939178966,109319451290123764414278531051112478611276711117,15667924387229131617633611484411698612325314484613687012208615638682208177550,
