,Unnamed: 0,Unnamed: 0.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,2021-11-10,HP,154,5,71,0,2935,65394,0,0,762.0,24.0,1437.0,0,12135.0,273467.0,0.0,Bilaspur,11,0,2,,142,4143,0,0,73.0,0.0,137.0,0.0,569.0,15692.0,0,382056,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,14483,85,14300,,324099,257530,0,1,2021-11-10 16:59:40,7300000,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,225319,3773,220368,,5732867,3849109,0,17,0.0,0.0
1,1,1,2021-11-10,HP,154,5,71,0,2935,65394,0,0,762.0,24.0,1437.0,0,12135.0,273467.0,0.0,Chamba,4,0,1,,291,4386,0,0,11.0,0.0,19.0,0.0,1611.0,28013.0,0,518844,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,13701,160,13526,,366676,239355,0,2,2021-11-10 16:59:40,7300000,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,225319,3773,220368,,5732867,3849109,0,17,0.0,0.0
2,2,2,2021-11-10,HP,154,5,71,0,2935,65394,0,0,762.0,24.0,1437.0,0,12135.0,273467.0,0.0,Hamirpur,26,2,8,,130,3414,0,0,147.0,5.0,248.0,0.0,481.0,12445.0,0,454293,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,17614,292,17081,,378178,291246,0,1,2021-11-10 16:59:40,7300000,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,225319,3773,220368,,5732867,3849109,0,17,0.0,0.0
3,3,3,2021-11-10,HP,154,5,71,0,2935,65394,0,0,762.0,24.0,1437.0,0,12135.0,273467.0,0.0,Kangra,58,2,19,,538,11794,0,0,275.0,14.0,637.0,0.0,2123.0,49224.0,0,1507223,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,51263,1145,49694,,1186303,800168,0,5,2021-11-10 16:59:40,7300000,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,225319,3773,220368,,5732867,3849109,0,17,0.0,0.0
4,4,4,2021-11-10,HP,154,5,71,0,2935,65394,0,0,762.0,24.0,1437.0,0,12135.0,273467.0,0.0,Kinnaur,1,0,1,,5,36,0,0,9.0,0.0,3.0,0.0,37.0,354.0,0,84298,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,3518,38,3470,,79733,63817,0,0,2021-11-10 16:59:40,7300000,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,225319,3773,220368,,5732867,3849109,0,17,0.0,0.0
5,5,5,2021-11-10,HP,154,5,71,0,2935,65394,0,0,762.0,24.0,1437.0,0,12135.0,273467.0,0.0,Kullu,2,0,6,,159,3142,0,0,16.0,0.0,24.0,0.0,858.0,14526.0,0,437474,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,9717,158,9529,,352595,224192,0,2,2021-11-10 16:59:40,7300000,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,225319,3773,220368,,5732867,3849109,0,17,0.0,0.0
6,6,6,2021-11-10,HP,154,5,71,0,2935,65394,0,0,762.0,24.0,1437.0,0,12135.0,273467.0,0.0,Lahaul and Spiti,0,0,0,,0,22,0,0,3.0,0.0,0.0,0.0,25.0,212.0,0,31528,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,2957,18,2935,,31956,21406,0,0,2021-11-10 16:59:40,7300000,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,225319,3773,220368,,5732867,3849109,0,17,0.0,0.0
7,7,7,2021-11-10,HP,154,5,71,0,2935,65394,0,0,762.0,24.0,1437.0,0,12135.0,273467.0,0.0,Mandi,10,1,15,,319,9977,0,0,68.0,3.0,108.0,0.0,1169.0,38195.0,0,999518,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,31731,454,31171,,777083,534146,0,0,2021-11-10 16:59:40,7300000,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,225319,3773,220368,,5732867,3849109,0,17,0.0,0.0
8,8,8,2021-11-10,HP,154,5,71,0,2935,65394,0,0,762.0,24.0,1437.0,0,12135.0,273467.0,0.0,Shimla,11,0,3,,385,7094,0,0,66.0,1.0,96.0,0.0,1385.0,26788.0,0,813384,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,27637,643,26904,,680798,461960,0,4,2021-11-10 16:59:40,7300000,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,225319,3773,220368,,5732867,3849109,0,17,0.0,0.0
9,9,9,2021-11-10,HP,154,5,71,0,2935,65394,0,0,762.0,24.0,1437.0,0,12135.0,273467.0,0.0,Sirmaur,0,0,0,,419,8345,0,0,3.0,0.0,1.0,0.0,1672.0,32316.0,0,530164,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,15460,211,15245,,426222,254449,0,0,2021-11-10 16:59:40,7300000,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,225319,3773,220368,,5732867,3849109,0,17,0.0,0.0
10,10,10,2021-11-10,HP,154,5,71,0,2935,65394,0,0,762.0,24.0,1437.0,0,12135.0,273467.0,0.0,Solan,12,0,3,,346,8264,0,0,20.0,0.0,26.0,0.0,1375.0,33487.0,0,576670,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,22842,314,22504,,693053,381759,0,0,2021-11-10 16:59:40,7300000,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,225319,3773,220368,,5732867,3849109,0,17,0.0,0.0
11,11,11,2021-11-10,HP,154,5,71,0,2935,65394,0,0,762.0,24.0,1437.0,0,12135.0,273467.0,0.0,Una,19,0,13,,201,4777,0,0,71.0,1.0,138.0,0.0,830.0,22215.0,0,521057,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,14396,255,14009,,436171,319081,0,2,2021-11-10 16:59:40,7300000,2021-11-10 19:00:00+05:30,https://twitter.com/nhm_hp,,225319,3773,220368,,5732867,3849109,0,17,0.0,0.0
