"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
22-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","12","181645","180642[14]","99.45","924","79","2671","9531","3772460"
"2","Faridabad","1","99920","99199[3]","99.28","716","5","2919","8757","2651470"
"3","Hisar","0","53996","52860","97.90","1136","0","847","4026","1391565"
"4","Sonepat","0","47139","46885","99.46","254","0","1322","5226","1489351"
"5","Karnal","0","40040","39487","98.62","552","1","1390","5061","1537783"
"6","Panipat","0","31153","30515[2]","97.95","638","0","1877","4226","1201564"
"7","Panchkula","7","30804","30407[2]","98.71","379","18","263","1839","779762"
"8","Ambala","0","30150","29641","98.31","509","0","595","5148","1531581"
"9","Sirsa","0","29283","28774","98.26","508","1","1314","3963","1149661"
"10","Rohtak","0","25915","25362","97.87","534","2","1453","4263","1053333"
"11","Yamunanagar","0","24637","24221","98.31","414","2","538","3212","1219192"
"12","Bhiwani","0","22409","21757","97.09","652","0","1103","5307","1159912"
"13","Kurukshetra","1","22152","21793","98.38","357","2","719","3346","905266"
"14","Mahindergarh","0","21689","21534","99.29","155","0","874","3115","904078"
"15","Jind","0","21210","20676","97.48","533","1","1255","3877","1027484"
"16","Rewari","0","20329","20108","98.91","221","0","1382","5065","1008150"
"17","Jhajjar","0","18850","18516[1]","98.23","328","0","754","3682","1057659"
"18","Fatehabad","0","17880","17395[1]","97.29","482","3","603","2221","811714"
"19","Kaithal","0","11246","10899","96.91","346","1","1340","6726","912926"
"20","Palwal","0","11026","10873","98.61","153","0","1701","3205","900920"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","180","915","652288"
"22","Nuh","0","5014","4891","97.55","123","0","12619","1932","575213"
"Total","","21","771565","761374[23]","98.68","10053","115","37719","94643","27693332"
