"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,52,348"
"2","Number of persons tested positive today in Tamil Nadu","23,421"
"","Passengers returned from other states/Countries by 
Road tested positive today","Andhra Pradesh - 7 
West Bengal - 5 
Bangladesh - 2 
Puducherry - 2 
Tripura - 1 
Sikkim - 1 
Assam - 1 
Uttarakhand - 1 
Kerala - 1 
Telangana - 1"
"","Total","23,443"
"3","Total Number of persons tested positive till date","29,63,366"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,40,268/ 
5,96,88,723@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,35,751/ 
5,87,25,716"
"6","No. of Male / Female / Transgender tested positive today","13,753/9,690/0"
"7","No. of Male / Female / Transgender tested positive till date","17,31,291/12,32,037/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","323 (69 Govt+ 
254 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","13,551/ 
27,74,009"
"10","Total number of deaths today/ till date","20(10 Private &  
10 Govt) /37,009"
