"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#",""
"","1","Bagalakote","0","35178","0","34843","2","0","333","0",""
"","2","Ballari","0","97767","2","95966","112","0","1689","0",""
"","3","Belagavi","6","79909","5","78893","78","0","938","0",""
"","4","Bengaluru Rural","1","62007","3","61079","38","0","890","0",""
"","5","Bengaluru Urban","139","1252106","190","1229397","6424","3","16284","1",""
"","6","Bidar","0","24340","0","23936","0","0","400","4",""
"","7","Chamarajanagara","0","33001","1","32474","16","0","500","11",""
"","8","Chikkaballapura","0","43953","0","43501","22","0","429","1",""
"","9","Chikkamagaluru","2","51130","4","50672","63","0","395","0",""
"","10","Chitradurga","0","36670","1","36416","48","0","206","0",""
"","11","Dakshina 
Kannada","18","115508","32","113583","238","0","1680","7",""
"","12","Davanagere","0","50990","0","50359","23","0","608","0",""
"","13","Dharwada","4","60974","3","59645","12","0","1315","2",""
"","14","Gadag","0","26066","0","25747","0","0","319","0",""
"","15","Hassana","4","111800","27","110342","200","0","1256","2",""
"","16","Haveri","0","21947","0","21301","2","0","644","0",""
"","17","Kalaburagi","1","61929","2","61092","18","0","819","0",""
"","18","Kodagu","5","37110","2","36625","155","0","329","1",""
"","19","Kolara","0","46917","5","46275","4","0","638","0",""
"","20","Koppala","0","35198","1","34661","16","0","521","0",""
"","21","Mandya","9","73766","8","73042","74","0","650","0",""
"","22","Mysuru","31","179214","25","176497","299","0","2418","0",""
"","23","Raichuru","0","39973","0","39641","1","0","331","0",""
"","24","Ramanagara","0","24204","0","23870","14","0","320","0",""
"","25","Shivamogga","1","69446","5","68257","101","0","1088","0",""
"","26","Tumakuru","8","120849","28","119459","262","1","1128","0",""
"","27","Udupi","4","76728","4","76191","48","0","489","0",""
"","28","Uttara Kannada","6","56231","28","55373","91","1","767","0",""
"","29","Vijayapura","0","36268","0","35765","8","0","495","0",""
"","30","Yadagiri","0","27545","0","27337","1","0","207","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","239","2988760","376","2942272","8370","5","38089","29",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 02-11-2021 
 Page 5 of 8","","","","","","","","","",""
"","","","","","","","","","","",""
