"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","135","138","1010"
"Kollam","57","21","151"
"Pathanamthitta","46","77","216"
"Alappuzha","28","41","66"
"Kottayam","76","15","1084"
"Idukki","38","87","620"
"Ernakulam","152","137","1415"
"Thrissur","34","83","457"
"Palakkad","20","20","30"
"Malappuram","22","29","277"
"Kozhikode","62","140","483"
"Wayanad","15","45","229"
"Kannur","28","69","85"
"Kasaragod","6","13","25"
"Total","719","915","6148"
