"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 15-07-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","186","730","285520","","283782 [144] ↑  99.39%","1008","291","827","5464","5519328"
"2","Faridabad","36","243","132428","131444 [34] ↑","99.26%","741","69","286","1756","4112456"
"3  Hisar","","14","48","62581","61357 [7] ↑","98.04%","1176","143","346","184","2375975"
"4","Sonipat","9","30","58973","58667 [1] ↑","99.48%","276","52","441","405","2316599"
"5","Karnal","15","146","48753","48010 [12] ↑","98.48%","597","344","768","449","2419827"
"6","Panchkula","40","168","45632","45048 [28] ↑","98.72%","416","65","201","520","1150888"
"7","Ambala","22","155","41302","40605 [25] ↑","98.31%","542","43","189","692","2169646"
"8","Panipat","17","41","36294","35579 [3] ↑","98.03%","674","102","235","833","2085475"
"9","Sirsa","8","31","33653","33083 [13] ↑","98.31%","539","182","985","1277","1958759"
"10  Rohtak","","5","46","32302","31702 [4] ↑","98.14%","537","35","560","1071","1759628"
"","11  Yamunanagar","11","45","30875","30374 [8] ↑","98.38%","456","48","950","861","1997679"
"12  Kurukshetra","","9","50","27097","26647 [15] ↑","98.34%","400","97","425","655","1582546"
"13  Bhiwani","","2","16","26661","25980 [1] ↑","97.45%","665","71","761","1281","1831457"
"","14  Mahendragarh","3","7","24807","24635 [3] ↑","99.31%","165","171","380","1097","1416264"
"15  Rewari","","3","2","24733","24507 [2] ↑","99.09%","224","28","109","634","1598766"
"16","Jind","3","23","24561","23996 [8] ↑","97.70%","542","151","343","547","1745223"
"17","Jhajjar","0","8","23627","23262 [1] ↑","98.46%","351","94","468","1004","1605920"
"18  Fatehabad","","2","9","20139","19632 [2] ↑","97.48%","498","18","51","158","1198887"
"19  Kaithal","","14","55","14469","14043 [9] ↑","97.06%","371","69","416","1439","1813513"
"20  Palwal","","2","5","13541","13366 [2] ↑","98.71%","170","63","215","504","1553471"
"","21  Charkhi Dadri","2","9","7514","7360 [8] ↑","97.95%","145","27","39","658","921672"
"22  Nuh","","0","2","6136","5995","97.70%","139","129","37","88","1224831"
"HARYANA","","403","1869","1021598","","1009074 [330] ↑  98.77%","10632","2292","9032","21577","44358810"
