"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
08-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","15","181808","180787[7]","99.44","924","97","3587","12598","3967869"
"2","Faridabad","1","99977","99228[1]","99.25","717","32","2776","9490","2818653"
"3","Hisar","0","54002","52862","97.89","1136","4","1198","4578","1488674"
"4","Sonepat","0","47145","46890[1]","99.46","254","1","1304","4626","1588211"
"5","Karnal","1","40046","39489","98.61","553","4","1179","4878","1631088"
"6","Panipat","0","31155","30516","97.95","638","1","1689","5008","1316898"
"7","Panchkula","10","30854","30454[4]","98.70","379","21","402","2010","814437"
"8","Ambala","0","30154","29641","98.30","509","4","897","7782","1623870"
"9","Sirsa","1","29296","28775","98.22","508","13","2232","6418","1255629"
"10","Rohtak","0","25918","25364","97.86","534","3","1133","4820","1128437"
"11","Yamunanagar","0","24653","24227","98.27","414","12","665","4225","1287515"
"12","Bhiwani","0","22410","21758","97.09","652","0","530","5153","1272098"
"13","Kurukshetra","1","22156","21796[1]","98.38","357","3","767","3616","966872"
"14","Mahindergarh","0","21689","21534","99.29","155","0","807","4197","961270"
"15","Jind","0","21210","20677","97.49","533","0","1171","5493","1108275"
"16","Rewari","0","20329","20108","98.91","221","0","1091","7580","1096416"
"17","Jhajjar","0","18850","18516","98.23","328","0","1035","3931","1120892"
"18","Fatehabad","0","17880","17398","97.30","482","0","433","2584","855518"
"19","Kaithal","0","11248","10900","96.91","346","2","826","4665","1004751"
"20","Palwal","0","11031","10875","98.59","153","3","1975","4131","1012515"
"21","Charkhi Dadri","0","5079","4940","97.26","139","0","291","1348","684387"
"22","Nuh","0","5014","4891","97.55","123","0","4652","1599","747107"
"Total","","29","771904","761626[14]","98.67","10055","200","30640","110730","29751382"
