"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2384","112860","2137","109626","29","3008","226"
"2","SAS Nagar","4127","99816","3549","98082","15","1163","571"
"3","Jalandhar","2065","80330","1646","77984","9","1949","397"
"4","Patiala","1624","63704","1370","61753","5","1716","235"
"5","Amritsar","931","60486","746","58454","4","1844","188"
"6","Bathinda","1091","51958","897","50340","2","1425","193"
"7","Hoshiarpur","842","41984","658","40390","9","1409","185"
"8","Gurdaspur","269","27196","190","26263","3","867","66"
"9","Pathankot","399","24901","338","24353","2","519","29"
"10","Fazilka","290","23722","279","23082","0","621","19"
"11","Muktsar","162","22714","132","22142","0","539","33"
"12","Kapurthala","383","22412","300","21742","2","594","76"
"13","Ropar","760","18698","562","18045","4","459","194"
"14","Ferozepur","337","18230","252","17612","2","539","79"
"15","Mansa","165","17390","143","16979","1","393","18"
"16","Faridkot","302","17137","260","16681","3","413","43"
"17","Sangrur","233","14667","213","13786","4","864","17"
"18","SBS Nagar","316","13718","267","13255","0","409","54"
"19","FG Sahib","519","12434","448","11928","1","437","69"
"20","Moga","149","11148","110","10841","3","269","38"
"21","Tarn Taran","98","10998","66","10571","1","399","28"
"22","Barnala","144","7644","131","7269","2","359","16"
"23","Malerkotla","46","4049","40","3831","3","214","4"
"","Total","17636","778196","14734","755009","104","20409","2778"
