"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
07-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","10","181793","180780[7]","99.44","924","89","6819","24242","3951684"
"2","Faridabad","4","99976","99227[8]","99.25","717","32","3530","10531","2806387"
"3","Hisar","0","54002","52862","97.89","1136","4","1776","7638","1482898"
"4","Sonepat","0","47145","46889","99.46","254","2","1677","7280","1582281"
"5","Karnal","0","40045","39489","98.61","553[1]","3","1480","5833","1625031"
"6","Panipat","0","31155","30516[1]","97.95","638","1","2434","6793","1310201"
"7","Panchkula","1","30844","30450[1]","98.72","379","15","335","2195","812025"
"8","Ambala","2","30154","29641","98.30","509","4","1030","7244","1615191"
"9","Sirsa","1","29295","28775","98.22","508","12","2689","8355","1246979"
"10","Rohtak","1","25918","25364","97.86","534","3","1261","4261","1122484"
"11","Yamunanagar","2","24653","24227[1]","98.27","414","12","790","5706","1282625"
"12","Bhiwani","0","22410","21758","97.09","652","0","796","6863","1266415"
"13","Kurukshetra","1","22155","21795","98.38","357","3","879","3945","962489"
"14","Mahindergarh","0","21689","21534","99.29","155","0","715","3940","956266"
"15","Jind","0","21210","20677","97.49","533","0","1239","5971","1101611"
"16","Rewari","0","20329","20108","98.91","221","0","868","6454","1087745"
"17","Jhajjar","0","18850","18516","98.23","328","0","1012","3927","1115926"
"18","Fatehabad","0","17880","17398","97.30","482","0","649","4390","852501"
"19","Kaithal","0","11248","10900","96.91","346","2","897","4986","999260"
"20","Palwal","2","11031","10875","98.59","153","3","2605","5520","1006409"
"21","Charkhi Dadri","0","5079","4940","97.26","139","0","281","1707","682748"
"22","Nuh","0","5014","4891","97.55","123","0","5585","1971","740856"
"Total","","24","771875","761612[18]","98.67","10055[1]","185","39347","139752","29610012"
