"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","35185","0","34848","4","0","333","0"
"2","Ballari","0","97834","6","96024","123","0","1687","0"
"3","Belagavi","10","80045","1","79017","82","1","946","0"
"4","Bengaluru Rural","2","62128","3","61198","38","0","892","0"
"5","Bengaluru Urban","158","1259183","182","1237306","5506","1","16370","1"
"6","Bidar","1","24351","0","23943","0","1","404","4"
"7","Chamarajanagara","0","33106","1","32571","21","0","503","11"
"8","Chikkaballapura","1","43991","1","43552","7","0","431","1"
"9","Chikkamagaluru","11","51413","3","50824","191","2","398","0"
"10","Chitradurga","4","36749","2","36502","38","0","209","0"
"11","Dakshina 
Kannada","13","116094","10","114249","147","0","1691","7"
"12","Davanagere","0","51024","4","50402","14","0","608","0"
"13","Dharwada","6","61447","19","60078","44","0","1323","2"
"14","Gadag","0","26073","0","25754","0","0","319","0"
"15","Hassana","2","112188","14","110844","83","0","1259","2"
"16","Haveri","0","21960","0","21316","1","0","643","0"
"17","Kalaburagi","2","61968","2","61137","9","0","822","0"
"18","Kodagu","14","37509","13","36948","227","0","333","1"
"19","Kolara","0","47045","5","46392","11","0","642","0"
"20","Koppala","0","35207","0","34670","9","0","528","0"
"21","Mandya","1","73901","2","73201","45","0","655","0"
"22","Mysuru","16","180075","17","177437","213","0","2425","0"
"23","Raichuru","2","39983","0","39648","2","0","333","0"
"24","Ramanagara","0","24217","0","23890","4","0","323","0"
"25","Shivamogga","7","69689","4","68477","122","0","1090","0"
"26","Tumakuru","7","121216","13","119949","126","1","1141","0"
"27","Udupi","2","76978","19","76444","45","0","489","0"
"28","Uttara Kannada","4","56505","6","55688","43","1","774","0"
"29","Vijayapura","0","36286","0","35781","10","0","495","0"
"30","Yadagiri","0","27548","0","27342","0","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","263","3000934","327","2955465","7165","7","38275","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
 
 
Date: 14-12-2021 
 Page 5 of 8","","","","","","","","",""
