"LABORATORY DATA","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","Genome Sequencing details till today","","","","","","","",""
"","Alpha / B.1.1.7","","","","155","","","",""
"","Beta / B.1.351","","","","08","","","",""
"","Delta / B.1.617.2","","","","1698","","","",""
"","Delta sub-lineages","","","","300","","","",""
"","Kappa / B.1.617.1","","","","160","","","",""
"","ETA / B.1.525","","","","01","","","",""
"*Data received from SSU.   
 
Date: 30-11-2021","","","","","","","","","Page 2 of 9"
