"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","1","35182","0","34845","4","0","333","0"
"2","Ballari","1","97794","3","96001","107","0","1686","0"
"3","Belagavi","5","79984","4","78976","65","0","943","0"
"4","Bengaluru Rural","2","62092","1","61168","34","0","890","0"
"5","Bengaluru Urban","185","1256452","654","1235281","4833","6","16337","1"
"6","Bidar","1","24348","0","23939","3","1","402","4"
"7","Chamarajanagara","3","33063","3","32515","34","0","503","11"
"8","Chikkaballapura","0","43975","1","43536","7","0","431","1"
"9","Chikkamagaluru","0","51210","3","50773","41","0","396","0"
"10","Chitradurga","2","36727","5","36475","43","0","209","0"
"11","Dakshina 
Kannada","19","115881","8","114040","147","0","1687","7"
"12","Davanagere","1","51006","3","50385","13","0","608","0"
"13","Dharwada","9","61309","1","59698","287","0","1322","2"
"14","Gadag","1","26072","0","25748","5","0","319","0"
"15","Hassana","3","112055","9","110718","77","0","1258","2"
"16","Haveri","0","21949","0","21305","1","0","643","0"
"17","Kalaburagi","1","61952","0","61123","7","0","822","0"
"18","Kodagu","4","37252","5","36852","68","0","331","1"
"19","Kolara","1","47015","3","46354","21","0","640","0"
"20","Koppala","2","35203","1","34662","14","0","527","0"
"21","Mandya","1","73851","3","73176","21","0","654","0"
"22","Mysuru","28","179771","17","177102","247","1","2422","0"
"23","Raichuru","0","39980","0","39647","0","0","333","0"
"24","Ramanagara","0","24214","0","23888","3","0","323","0"
"25","Shivamogga","8","69544","1","68356","98","0","1090","0"
"26","Tumakuru","5","121095","10","119830","128","0","1137","0"
"27","Udupi","7","76899","6","76347","64","0","488","0"
"28","Uttara Kannada","1","56411","3","55598","40","0","773","0"
"29","Vijayapura","0","36278","1","35781","2","0","495","0"
"30","Yadagiri","0","27548","0","27340","2","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","291","2996148","745","2951492","6416","8","38211","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 30-11-2021 
 Page 5 of 9","","","","","","","","",""
