District,Recovered,Deceased,Active
औरैय्या,9890,204,73
ममर्ापरु,10974.0,116.0,73.0
आजमगढ़,17680.0,228.0,70.0
अम्बडेकर नगर,4888.0,152.0,69.0
लखीमपरु-खीरी,24129.0,293.0,68.0
गोंडा,12016.0,271.0,67.0
कन्नौज,9115.0,115.0,67.0
सलु्तानपरु,14781.0,138.0,60.0
एटा,9877.0,99.0,57.0
लमलतपरु,12622.0,128.0,57.0
फर्रखाबाद,10158.0,194.0,56.0
महाराजगजं,12329.0,141.0,56.0
मसद्धाथ नगर,9275.0,100.0,56.0
बमलया,21378.0,234.0,52.0
कासगजं,4198.0,53.0,36.0
पीलीभीत,10840.0,193.0,30.0
अमठेी,9834.0,143.0,29.0
बलरामपरु,7361.0,138.0,29.0
कानपरु देहात,6090.0,110.0,29.0
मऊ,8253.0,80.0,29.0
कुशीनगर,15390.0,228.0,28.0
फतहेपरु,6680.0,139.0,27.0
बादा,10832.0,161.0,26.0
भदोही,7558.0,163.0,25.0
प्रतापगढ़,15876.0,163.0,20.0
चचत्रकट,7031.0,79.0,12.0
हमीरपरु,5138.0,102.0,12.0
जालौन,11489.0,202.0,11.0
सतं कबीर नगर,8064.0,98.0,11.0
महोबा,4182.0,86.0,9.0
कौशाम्बी,4356.0,70.0,7.0
श्रावस्ती,4355.0,35.0,6.0
