,Unnamed: 0,44,Unnamed: 1,औरैय्या,Unnamed: 2,12,Unnamed: 3,0,Unnamed: 4,9890,Unnamed: 5,0.1,Unnamed: 6,204,Unnamed: 7,73,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,ममर्ापरु,,13.0,,1.0,,10974.0,,0.0,,116.0,,73.0,,,,,
1,,46,,आजमगढ़,,17.0,,0.0,,17680.0,,0.0,,228.0,,70.0,,,,,
2,,47,,अम्बडेकर नगर,,13.0,,0.0,,4888.0,,0.0,,152.0,,69.0,,,,,
3,,48,,लखीमपरु-खीरी,,12.0,,3.0,,24129.0,,0.0,,293.0,,68.0,,,,,
4,,49,,गोंडा,,15.0,,0.0,,12016.0,,0.0,,271.0,,67.0,,,,,
5,,50,,कन्नौज,,19.0,,0.0,,9115.0,,0.0,,115.0,,67.0,,,,,
6,,51,,सलु्तानपरु,,12.0,,1.0,,14781.0,,0.0,,138.0,,60.0,,,,,
7,,52,,एटा,,11.0,,1.0,,9877.0,,0.0,,99.0,,57.0,,,,,
8,,53,,लमलतपरु,,19.0,,0.0,,12622.0,,0.0,,128.0,,57.0,,,,,
9,,54,,फर्रखाबाद,,25.0,,1.0,,10158.0,,0.0,,194.0,,56.0,,,,,
10,,55,,महाराजगजं,,12.0,,5.0,,12329.0,,0.0,,141.0,,56.0,,,,,
11,,56,,मसद्धाथ नगर,,6.0,,0.0,,9275.0,,0.0,,100.0,,56.0,,,,,
12,,57,,बमलया,,11.0,,1.0,,21378.0,,0.0,,234.0,,52.0,,,,,
13,,58,,कासगजं,,13.0,,0.0,,4198.0,,0.0,,53.0,,36.0,,,,,
14,,59,,पीलीभीत,,9.0,,1.0,,10840.0,,0.0,,193.0,,30.0,,,,,
15,,60,,अमठेी,,10.0,,2.0,,9834.0,,0.0,,143.0,,29.0,,,,,
16,,61,,बलरामपरु,,3.0,,5.0,,7361.0,,0.0,,138.0,,29.0,,,,,
17,,62,,कानपरु देहात,,9.0,,0.0,,6090.0,,0.0,,110.0,,29.0,,,,,
18,,63,,मऊ,,7.0,,0.0,,8253.0,,0.0,,80.0,,29.0,,,,,
19,,64,,कुशीनगर,,5.0,,0.0,,15390.0,,0.0,,228.0,,28.0,,,,,
20,,65,,फतहेपरु,,3.0,,0.0,,6680.0,,0.0,,139.0,,27.0,,,,,
21,,66,,बादा,,2.0,,0.0,,10832.0,,0.0,,161.0,,26.0,,,,,
22,,67,,भदोही,,1.0,,0.0,,7558.0,,0.0,,163.0,,25.0,,,,,
23,,68,,प्रतापगढ़,,2.0,,0.0,,15876.0,,0.0,,163.0,,20.0,,,,,
24,,69,,चचत्रकट,,1.0,,0.0,,7031.0,,0.0,,79.0,,12.0,,,,,
25,,70,,हमीरपरु,,3.0,,0.0,,5138.0,,0.0,,102.0,,12.0,,,,,
26,,71,,जालौन,,1.0,,0.0,,11489.0,,0.0,,202.0,,11.0,,,,,
27,,72,,सतं कबीर नगर,,2.0,,0.0,,8064.0,,0.0,,98.0,,11.0,,,,,
28,,73,,महोबा,,1.0,,0.0,,4182.0,,0.0,,86.0,,9.0,,,,,
29,,74,,कौशाम्बी,,0.0,,0.0,,4356.0,,0.0,,70.0,,7.0,,,,,
30,,75,,श्रावस्ती,,2.0,,1.0,,4355.0,,0.0,,35.0,,6.0,,,,,
31,,Total,,,,,,,8334.0,,335.0,,1688983.0,,4.0,,22932.0,,33946.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 22932 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
