"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#",""
"","1","Bagalakote","1","35187","0","34850","4","0","333","0",""
"","2","Ballari","2","97845","2","96056","102","0","1687","0",""
"","3","Belagavi","1","80118","4","79086","84","0","948","0",""
"","4","Bengaluru Rural","6","62146","0","61225","29","0","892","0",""
"","5","Bengaluru Urban","269","1261997","209","1239486","6122","1","16388","1",""
"","6","Bidar","0","24352","0","23943","1","0","404","4",""
"","7","Chamarajanagara","0","33117","2","32590","12","0","504","11",""
"","8","Chikkaballapura","0","44007","0","43557","17","0","432","1",""
"","9","Chikkamagaluru","1","51451","6","51016","37","0","398","0",""
"","10","Chitradurga","1","36768","5","36531","27","0","210","0",""
"","11","Dakshina 
Kannada","10","116308","32","114485","123","0","1693","7",""
"","12","Davanagere","1","51031","0","50412","11","0","608","0",""
"","13","Dharwada","1","61493","4","60136","30","0","1325","2",""
"","14","Gadag","0","26074","0","25755","0","0","319","0",""
"","15","Hassana","6","112284","6","110959","61","1","1262","2",""
"","16","Haveri","0","21961","0","21317","1","0","643","0",""
"","17","Kalaburagi","2","61977","0","61143","11","0","823","0",""
"","18","Kodagu","3","37728","1","37168","221","0","338","1",""
"","19","Kolara","3","47130","1","46431","56","0","643","0",""
"","20","Koppala","0","35209","1","34672","9","0","528","0",""
"","21","Mandya","1","73939","0","73249","35","0","655","0",""
"","22","Mysuru","10","180241","11","177710","103","0","2428","0",""
"","23","Raichuru","0","39992","4","39658","1","0","333","0",""
"","24","Ramanagara","0","24222","2","23894","5","0","323","0",""
"","25","Shivamogga","3","69726","2","68557","79","0","1090","0",""
"","26","Tumakuru","7","121324","14","120094","89","0","1141","0",""
"","27","Udupi","20","77067","3","76500","76","0","491","0",""
"","28","Uttara Kannada","3","56660","38","55785","100","0","775","0",""
"","29","Vijayapura","5","36294","0","35789","10","0","495","0",""
"","30","Yadagiri","0","27548","0","27342","0","0","206","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","356","3005232","347","2959429","7456","2","38318","29",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 28-12-2021 
 Page 5 of 8","","","","","","","","","",""
"","","","","","","","","","","",""
