"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
29-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","8","181701","180712[13]","99.46","924","65","2573","8083","3843631"
"2","Faridabad","1","99945","99202","99.26","717","26","2324","8781","2718861"
"3","Hisar","0","53998","52860","97.89","1136","2","1048","4715","1425944"
"4","Sonepat","0","47143","46885","99.45","254","4","1083","4482","1531758"
"5","Karnal","0","40041","39488","98.62","552","1","1793","6058","1579875"
"6","Panipat","0","31153","30515","97.95","638","0","1876","5236","1248349"
"7","Panchkula","2","30831","30421[1]","98.67","379","31","374","1703","794150"
"8","Ambala","0","30150","29641","98.31","509","0","678","4535","1568244"
"9","Sirsa","0","29283","28775","98.27","508","0","1377","4319","1187057"
"10","Rohtak","1","25916","25364","97.87","534","1","2045","3561","1086204"
"11","Yamunanagar","3","24643","24223[2]","98.30","414","6","608","3309","1245219"
"12","Bhiwani","0","22410","21757","97.09","652","1","702","4411","1207806"
"13","Kurukshetra","0","22152","21794","98.38","357","1","575","3262","931370"
"14","Mahindergarh","0","21689","21534","99.29","155","0","574","2533","926824"
"15","Jind","0","21210","20677[1]","97.49","533","0","1186","4028","1058579"
"16","Rewari","0","20329","20108","98.91","221","0","834","3918","1043179"
"17","Jhajjar","0","18850","18516","98.23","328","0","650","3094","1085259"
"18","Fatehabad","0","17880","17398[2]","97.30","482","0","563","2490","831064"
"19","Kaithal","0","11247","10899","96.91","346","2","1712","5242","960389"
"20","Palwal","0","11028","10874","98.60","153","1","3464","4721","956816"
"21","Charkhi Dadri","1","5079","4939","97.24","139","1","219","1349","666578"
"22","Nuh","0","5014","4891","97.55","123","0","7814","1466","676140"
"Total","","16","771692","761473[19]","98.68","10054","142","34072","91296","28573296"
