"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on   
11-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","12","181513","180530[8]","99.46","922","61","3197","9138","3659036"
"2","Faridabad","0","99911","99187","99.28","716","8","2323","6419","2557813"
"3","Hisar","0","53996","52859","97.89","1136","1","506","2133","1356897"
"4","Sonepat","0","47139","46884","99.46","254","1","1478","4292","1439461"
"5","Karnal","1","40039","39485","98.62","552","2","1171","5294","1487660"
"6","Panipat","0","31152","30512","97.95","638","2","2370","4162","1134470"
"7","Panchkula","3","30783","30394","98.74","379","10","344","1768","751286"
"8","Ambala","0","30150","29641","98.31","509","0","650","6620","1481342"
"9","Sirsa","0","29282","28774","98.27","508","0","1806","3233","1089209"
"10","Rohtak","2","25913","25352","97.84","534","10","1280","3509","1017577"
"11","Yamunanagar","0","24635","24217","98.30","414","4","549","2517","1193309"
"12","Bhiwani","0","22409","21757","97.09","652","0","729","5151","1107489"
"13","Kurukshetra","1","22150","21791","98.38","357","2","691","2385","873807"
"14","Mahindergarh","0","21689","21534","99.29","155","0","1076","2657","865501"
"15","Jind","0","21209","20676","97.49","533","0","1446","2641","993941"
"16","Rewari","1","20329","20106","98.90","221","2","1275","2674","966377"
"17","Jhajjar","0","18849","18515","98.23","328","0","878","5100","1017731"
"18","Fatehabad","0","17876","17394","97.30","481","1","572","1563","791192"
"19","Kaithal","0","11246","10898","96.91","346","2","781","2902","852837"
"20","Palwal","0","11026","10872","98.60","153","1","1291","3577","864067"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","109","910","640772"
"22","Nuh","0","5014","4891","97.55","123","0","1719","1186","450638"
"Total","","20","771388","761208[8]","98.68","10050","107","26241","79831","26592412"
