"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","356","961","3697"
"Kollam","215","253","2498"
"Pathanamthitta","142","277","1261"
"Alappuzha","137","283","1748"
"Kottayam","241","379","2985"
"Idukki","160","425","2277"
"Ernakulam","393","881","5080"
"Thrissur","205","522","2613"
"Palakkad","96","296","807"
"Malappuram","113","330","1816"
"Kozhikode","220","423","2523"
"Wayanad","101","287","1339"
"Kannur","121","106","938"
"Kasaragod","24","76","361"
"Total","2524","5499","29943"
