"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","51","1148910","1","19730"
"2","Thane","1","121009","0","2290"
"3","TMC","19","202828","0","2193"
"4","Navi Mumbai","16","181072","0","2097"
"5","KDMC","3","180149","0","2978"
"6","Ulhasnagar MC","0","27306","0","686"
"7","Bhivandi Nijampur MC","0","13414","0","496"
"8","Mira Bhayandar MC","0","79879","0","1237"
"9","Palghar","0","65736","0","1244"
"10","Vasai Virar MC","3","102701","0","2177"
"11","Raigad","9","144559","1","3485"
"12","Panvel MC","6","111392","0","1488"
"","Mumbai circle total","108","2378955","2","40101"
"13","Nashik","12","186320","0","3817"
"14","Nashik MC","5","281177","0","4756"
"15","Malegaon MC","0","11167","0","345"
