"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
09-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","10","181818","180802[15]","99.44","924","92","3454","9904","3981227"
"2","Faridabad","12","99989","99231[3]","99.24","717","41","2927","9293","2830873"
"3","Hisar","0","54002","52862","97.89","1136","4","2124","8630","1499428"
"4","Sonepat","0","47145","46890","99.46","254","1","1491","6160","1595862"
"5","Karnal","2","40048","39489","98.60","553","6","1246","5732","1638066"
"6","Panipat","0","31155","30516","97.95","638","1","2232","7269","1326399"
"7","Panchkula","3","30857","30455[1]","98.70","379","23","488","2507","817432"
"8","Ambala","0","30154","29641","98.30","509","4","760","7193","1631823"
"9","Sirsa","0","29296","28775","98.22","508","13","2477","6646","1264752"
"10","Rohtak","1","25919","25365[1]","97.86","534","3","1395","4686","1134518"
"11","Yamunanagar","3","24656","24229[2]","98.27","414","13","807","7245","1295567"
"12","Bhiwani","0","22410","21758","97.09","652","0","642","6930","1279670"
"13","Kurukshetra","3","22159","21796","98.36","357","6","823","4416","972111"
"14","Mahindergarh","0","21689","21534","99.29","155","0","632","3948","965850"
"15","Jind","0","21210","20677","97.49","533","0","1212","6595","1116082"
"16","Rewari","0","20329","20108","98.91","221","0","840","6006","1103262"
"17","Jhajjar","0","18850","18516","98.23","328","0","908","4134","1125934"
"18","Fatehabad","0","17880","17398","97.30","482","0","572","4412","860502"
"19","Kaithal","1","11249","10900","96.90","346","3","820","5029","1010600"
"20","Palwal","0","11031","10875","98.59","153","3","2067","4530","1019112"
"21","Charkhi Dadri","0","5079","4940","97.26","139","0","240","1036","685663"
"22","Nuh","0","5014","4891","97.55","123","0","3926","1427","752460"
"Total","","35","771939","761648[22]","98.67","10055","213","32083","123728","29907193"
