"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","16943","16665","14","264"
"2","Chengalpattu","174785","171703","537","2545"
"3","Chennai","560333","550353","1340","8640"
"4","Coimbatore","252328","248709","1124","2495"
"5","Cuddalore","64514","63574","66","874"
"6","Dharmapuri","28941","28589","73","279"
"7","Dindigul","33308","32620","36","652"
"8","Erode","107290","106005","578","707"
"9","Kallakurichi","31594","31366","18","210"
"10","Kancheepuram","75944","74491","188","1265"
"11","Kanyakumari","62999","61799","139","1061"
"12","Karur","24876","24354","158","364"
"13","Krishnagiri","44043","43559","128","356"
"14","Madurai","75631","74382","63","1186"
"15","Mayiladuthurai","23420","23078","23","319"
"16","Nagapattinam","21411","21009","43","359"
"17","Namakkal","54288","53326","446","516"
"18","Nilgiris","34364","33975","171","218"
"19","Perambalur","12126","11868","13","245"
"20","Pudukottai","30373","29923","29","421"
"21","Ramanathapuram","20658","20280","19","359"
"22","Ranipet","43654","42829","47","778"
"23","Salem","102150","99980","448","1722"
"24","Sivagangai","20476","20214","52","210"
"25","Tenkasi","27411","26909","16","486"
"26","Thanjavur","76339","75186","150","1003"
"27","Theni","43619","43089","8","522"
"28","Thirupathur","29445","28784","34","627"
"29","Thiruvallur","120632","118544","232","1856"
"30","Thiruvannamalai","55310","54564","73","673"
"31","Thiruvarur","41983","41463","58","462"
"32","Thoothukudi","56550","56110","28","412"
"33","Tirunelveli","49730","49249","47","434"
"34","Tiruppur","98147","96595","536","1016"
"35","Trichy","78759","77492","173","1094"
"36","Vellore","50387","49136","110","1141"
"37","Villupuram","46077","45685","34","358"
"38","Virudhunagar","46417","45857","11","549"
"39","Airport Surveillance 
(International)","1038","1030","7","1"
"40","Airport Surveillance 
(Domestic)","1085","1084","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","27,39,806","26,95,856","7,270","36,680"
