"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","7,270"
"2","Number of persons tested positive today in Tamil Nadu","608"
"","Passengers returned from other countries  by 
International airport tested positive today","UK - 2"
"","Total","610"
"3","Total Number of persons tested positive till date","27,39,806"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,01,616/ 
5,62,15,071@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,01,389/ 
5,52,78,115"
"6","No. of Male / Female / Transgender tested positive today","361/249/0"
"7","No. of Male / Female / Transgender tested positive till date","15,99,212/11,40,556/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","317 (69 Govt+ 
248 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","682/ 
26,95,856"
"10","Total number of deaths today/ till date","4(1 Private &  
3 Govt) /36,680)"
