Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
2021-11-08,DN,0,0,0,0,522,3389,0,10682.0,4.0,10677.0,,662911.0,381341.0,Other State,,,,,0,0,0,,,,,0,0,0,,,,,,,,0,0,2021-11-09 08:47:33.426333,959000,,,,10682,4,10678,,662911,381341,1044252.0,3911.0,1044252.0,,0
2021-11-08,DN,0,0,0,0,522,3389,0,10682.0,4.0,10677.0,,662911.0,381341.0,Dadra and Nagar Haveli,,,,,217,1550,0,,,,,388538,189276,343709,,,,,,,,388538,189276,2021-11-09 08:47:33.426333,959000,,,,10682,4,10678,,662911,381341,1044252.0,3911.0,1044252.0,577814.0,1767
2021-11-08,DN,0,0,0,0,522,3389,0,10682.0,4.0,10677.0,,662911.0,381341.0,Daman,,,,,286,1616,0,,,,,235542,160410,191173,,,,,,,,235542,160410,2021-11-09 08:47:33.426333,959000,,,,10682,4,10678,,662911,381341,1044252.0,3911.0,1044252.0,395952.0,1902
2021-11-08,DN,0,0,0,0,522,3389,0,10682.0,4.0,10677.0,,662911.0,381341.0,Diu,,,,,19,223,0,,,,,38831,31655,52074,,,,,,,,38831,31655,2021-11-09 08:47:33.426333,959000,,,,10682,4,10678,,662911,381341,1044252.0,3911.0,1044252.0,70486.0,242
2021-11-08,DN,0,0,0,0,522,3389,0,10682.0,4.0,10677.0,,662911.0,381341.0,Unknown,0.0,0.0,0.0,,0,0,0,10682.0,4.0,10677.0,,0,0,0,,,,10682.0,4.0,10678.0,,0,0,2021-11-09 08:47:33.426333,959000,,,,10682,4,10678,,662911,381341,1044252.0,3911.0,1044252.0,,0
