"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","40,260"
"2","Number of persons tested positive today in Tamil Nadu","10,932"
"","Passengers returned from other countries  by 
International airport tested positive today","Sri Lanka - 1 
UAE - 1"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Delhi -1"
"","Passengers returned from other states by Road tested 
positive today","West Bengal - 19 
Bangladesh - 5 
Delhi - 4 
Bihar - 4 
Assam - 3 
Kerala - 3 
Karnataka - 2 
Jharkhand - 2 
Puducherry - 1"
"","Total","10,978"
"3","Total Number of persons tested positive till date","27,87,391"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,39,253/ 
5,83,79,224@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,38,745/ 
5,74,37,457"
"6","No. of Male / Female / Transgender tested positive today","6,465/4,513/0"
"7","No. of Male / Female / Transgender tested positive till date","16,27,133/11,60,220/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","321 (69 Govt+ 
252 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,525/ 
27,10,288"
"10","Total number of deaths today/ till date","10(5 Private &  
5 Govt) /36,843"
