"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","18,802"
"2","Number of persons tested positive today in Tamil Nadu","2,447"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Delhi-1"
"","Total","2,448"
"3","Total Number of persons tested positive till date","35,03,977"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","30,339/ 
6,74,98,133@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","29,517/ 
6,63,10,746"
"6","No. of Male / Female / Transgender tested positive today","1,366/1,082/0"
"7","No. of Male / Female / Transgender tested positive till date","20,43,131/14,60,808/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,465/ 
34,47,147"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,028"
