"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19961","19667","27","267"
"2","Chengalpattu","244028","238376","2994","2658"
"3","Chennai","772272","756268","6935","9069"
"4","Coimbatore","332612","329117","878","2617"
"5","Cuddalore","74547","73487","165","895"
"6","Dharmapuri","36311","35954","74","283"
"7","Dindigul","37655","36878","112","665"
"8","Erode","133185","132196","255","734"
"9","Kallakurichi","36670","36355","100","215"
"10","Kancheepuram","96115","94283","530","1302"
"11","Kanyakumari","87715","86182","448","1085"
"12","Karur","29861","29433","56","372"
"13","Krishnagiri","59950","59437","143","370"
"14","Madurai","91779","90275","268","1236"
"15","Mayiladuthurai","26624","26220","74","330"
"16","Nagapattinam","25546","25120","51","375"
"17","Namakkal","68321","67631","156","534"
"18","Nilgiris","42377","42083","68","226"
"19","Perambalur","14693","14341","103","249"
"20","Pudukottai","34641","34110","105","426"
"21","Ramanathapuram","24795","24361","66","368"
"22","Ranipet","54564","53490","287","787"
"23","Salem","128090","126001","327","1762"
"24","Sivagangai","24203","23823","161","219"
"25","Tenkasi","33139","32413","236","490"
"26","Thanjavur","92458","91264","154","1040"
"27","Theni","50862","50160","169","533"
"28","Thirupathur","35802","35146","23","633"
"29","Thiruvallur","150200","147185","1076","1939"
"30","Thiruvannamalai","67208","66320","203","685"
"31","Thiruvarur","48190","47618","99","473"
"32","Thoothukudi","65980","65090","442","448"
"33","Tirunelveli","64058","63009","604","445"
"34","Tiruppur","130299","129081","166","1052"
"35","Trichy","96232","94532","539","1161"
"36","Vellore","57566","56313","90","1163"
"37","Villupuram","55001","54400","235","366"
"38","Virudhunagar","57528","56617","357","554"
"39","Airport Surveillance 
(International)","1368","1347","20","1"
"40","Airport Surveillance 
(Domestic)","1143","1136","6","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","35,03,977","34,47,147","18,802","38,028"
