"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","10,033"
"2","Number of persons tested positive today in Tamil Nadu","1,820"
"","Passengers returned from other countries  by 
International airport tested positive today","Qatar-2 
Germany-1 
Iraq-1 
Tajikistan-1 
UAE-1"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Delhi-1"
"","Total","1,827"
"3","Total Number of persons tested positive till date","34,73,116"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","25,912/ 
6,71,17,329@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","25,657/ 
6,59,37,305"
"6","No. of Male / Female / Transgender tested positive today","995/832/0"
"7","No. of Male / Female / Transgender tested positive till date","20,26,012/14,47,066/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","764/ 
34,25,057"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,026"
