"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 07-06-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","142","489","275305","273809[152]","99.46","1007","255","794","1800","5378581"
"2","Faridabad","46","177","129995","129077[23]","99.29","741","179","597","857","4052291"
"3  Hisar","","2","14","62170","60981[4]","98.09","1175","240","495","263","2351401"
"4","Sonipat","0","10","58726","58440[4]","99.51","276","92","378","281","2290769"
"5","Karnal","1","3","48266","47667[2]","98.76","596","118","396","319","2393483"
"6","Panchkula","4","26","44383","43943[3]","99.01","414","37","191","564","1124995"
"7","Ambala","2","12","40823","40269","98.64","542","122","324","897","2138764"
"8","Panipat","1","3","36117","35442","98.13","672","54","249","416","2056963"
"9","Sirsa","0","3","33416","32874[1]","98.38","539","67","436","277","1937709"
"10  Rohtak","","4","12","31995","31429","98.23","537","52","790","425","1700862"
"","11  Yamunanagar","0","2","30694","30237[1]","98.51","455","54","810","450","1961242"
"12  Kurukshetra","","5","6","26868","26464[2]","98.50","398","60","639","289","1557236"
"13  Bhiwani","","3","12","26549","25872[2]","97.45","665","90","373","945","1775284"
"","14  Mahendragarh","0","0","24754","24589","99.33","165","86","412","732","1383190"
"15  Rewari","","12","17","24655","24414[5]","99.02","224","132","399","1201","1570403"
"16","Jind","0","5","24364","23817","97.75","542","30","608","125","1718485"
"17","Jhajjar","3","10","23529","23163[8]","98.44","350","41","204","271","1578533"
"18  Fatehabad","","1","9","20082","19575","97.48","498","9","75","68","1193294"
"19  Kaithal","","1","5","14250","13874","97.36","371","99","722","590","1768865"
"20  Palwal","","0","2","13508","13336","98.73","170","24","64","101","1538623"
"","21  Charkhi Dadri","0","1","7458","7312","98.04","145","23","111","902","898556"
"22  Nuh","","0","0","6119","5980","97.73","139","2","13","79","1221990"
"Haryana","","227","818","1004026","992564[207]","98.86","10621","1866","9080","11852","43591519"
