"Total No. of Sample Taken Today","12972"
"Total No. of Positive Cases Detected Today","227"
"Total Active COVID-19 Patients","818"
"Total No. of Active Cases under Home Isolation (07-06-2022)","803"
"Total No. of Samples found Positive till date","1004026"
"Total Positive COVID-19 Patients Recovered / Discharged till date","992564"
"No. of Deaths","10621"
"Total No. of People Vaccinated Today","22798 
(1st Dose: 1866 
2nd Dose: 9080 
Precaution Dose: 11852)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23544785 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 86% for 15yrs above population)","19296907 (86%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","749827"
"Cumulative Coverage of Total COVID-19 Vaccination","43591519"
"COVID-19 Today (07-06-2022) Positivity Rate","2.25%"
"Recovery Rate","98.86%"
"Fatality Rate","1.06%"
