"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","377","302","231171","1","12225","243396","400"
"Bageshwar","484","181","203994","0","5765","209759","1031"
"Chamoli","580","222","283441","0","12247","295688","942"
"Champawat","574","696","237150","1","7609","244759","357"
"Dehradun","2226","1155","1875246","2","112570","1987816","1607"
"Haridwar","4580","3130","2094748","1","51556","2146304","2612"
"Nainital","1383","999","540424","3","39312","579736","554"
"Pauri Garhwal","1246","879","385011","1","17724","402735","1179"
"Pithoragarh","580","74","213790","0","10267","224057","794"
"Rudraprayag","554","137","190685","1","8802","199487","964"
"Tehri Garhwal","564","130","296124","0","15840","311964","626"
"US Nagar","1347","1959","900567","1","37887","938454","742"
"Uttarkashi","314","356","334443","0","12560","347003","315"
"Total","14809","10220","7786794","11","344364","8131158","12123"
