"Districts","Cases till Date","Treated/ 
Cured till Date","Active Cases","Deaths","Migrated/
Others"
"Almora","12225","11407","6","196","616"
"Bageshwar","5765","5679","1","60","25"
"Chamoli","12247","11977","1","62","207"
"Champawat","7609","7363","4","53","189"
"Dehradun","112570","108400","43","3524","603"
"Haridwar","51556","49125","20","1022","1389"
"Nainital","39312","38172","60","946","134"
"Pauri Garhwal","17724","16678","30","315","701"
"Pithoragarh","10267","9975","2","182","108"
"Rudraprayag","8802","8536","1","106","159"
"Tehri Garhwal","15840","14829","2","110","899"
"U.S.Nagar","37887","36324","2","761","800"
"Uttarkashi","12560","12143","0","74","343"
"Total","344364","330608","172","7411","6173"
