,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10766,10637,129,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,991264,347616,353285,290363,https://www.icmr.gov.in/,47,0,77,279,63,72,414,0,0,0,0,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2340672,2325939,14733,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,110957393,44704401,47578798,18674194,https://www.icmr.gov.in/,47,0,77,279,63,72,414,8,2,5,15,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,67045,66747,296,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,1924584,961348,821819,141417,https://www.icmr.gov.in/,47,0,77,279,63,72,414,0,0,0,0,1,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746145,738108,8035,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,50335778,24813013,22150254,3372511,https://www.icmr.gov.in/,47,0,77,279,63,72,414,0,0,0,0,0,0,0,,,1332900000,Assam,34293000
4,Bihar,855260,842939,12314,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,157289981,73485554,67912266,15892161,https://www.icmr.gov.in/,47,0,77,279,63,72,414,0,0,40,40,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,100689,99502,1185,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,2291359,1185692,991057,114610,https://www.icmr.gov.in/,47,0,77,279,63,72,414,6,0,2,8,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1187680,1173488,14190,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,49167935,21267793,20343759,7556383,https://www.icmr.gov.in/,47,0,77,279,63,72,414,0,0,0,0,0,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,1580050,782352,636962,160736,https://www.icmr.gov.in/,47,0,77,279,63,72,414,0,0,3,3,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2040770,2014094,26665,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,37408823,18297654,15717390,3393779,https://www.icmr.gov.in/,47,0,77,279,63,72,414,6,5,5,16,0,0,0,,,1332900000,Delhi,19814000
9,Goa,263303,259273,4014,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,2874477,1440045,1295735,138697,https://www.icmr.gov.in/,47,0,77,279,63,72,414,0,0,0,0,0,3,0,,,1332900000,Goa,1540000
10,Gujarat,1291352,1280261,11079,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,128104978,54398278,54032512,19674188,https://www.icmr.gov.in/,47,0,77,279,63,72,414,3,7,5,15,1,0,0,,,1332900000,Gujarat,67936000
11,Haryana,1078874,1068094,10754,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,45546401,23681709,19849172,2015520,https://www.icmr.gov.in/,47,0,77,279,63,72,414,1,0,3,4,0,0,0,,,1332900000,Haryana,28672000
12,Himachal Pradesh,322820,318572,4240,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,15325484,6646550,6328308,2350626,https://www.icmr.gov.in/,47,0,77,279,63,72,414,0,0,0,0,3,2,0,,,1332900000,Himachal Pradesh,7300000
13,Jammu and Kashmir,482017,477219,4792,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,24782265,11372601,11768145,1641519,https://www.icmr.gov.in/,47,0,77,279,63,72,414,0,0,0,0,0,0,0,,,1332900000,Jammu and Kashmir,13203000
14,Jharkhand,443824,438490,5334,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,43875934,23969121,17860830,2045983,https://www.icmr.gov.in/,47,0,77,279,63,72,414,0,3,5,8,0,0,0,,,1332900000,Jharkhand,37403000
15,Karnataka,4088619,4048247,40357,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,122150559,55174600,55391529,11584430,https://www.icmr.gov.in/,47,0,77,279,63,72,414,0,0,0,0,4,8,0,,,1332900000,Karnataka,65798000
16,Kerala,6906977,6833976,71941,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,57510303,29151180,25272132,3086991,https://www.icmr.gov.in/,47,0,77,279,63,72,414,7,9,12,28,9,13,0,,,1332900000,Kerala,35125000
17,Ladakh,29587,29355,231,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,567133,238303,204114,124716,https://www.icmr.gov.in/,47,0,77,279,63,72,414,0,0,0,0,0,0,0,,,1332900000,Ladakh,293000
18,Lakshadweep,11415,11363,52,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,145313,61813,60525,22975,https://www.icmr.gov.in/,47,0,77,279,63,72,414,0,0,0,0,0,0,0,,,1332900000,Lakshadweep,68000
19,Maharashtra,8169804,8021159,148554,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,177972685,91674160,76628841,9669684,https://www.icmr.gov.in/,47,0,77,279,63,72,414,20,17,42,79,10,11,0,,,1332900000,Maharashtra,122153000
20,Manipur,139973,137806,2149,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,3269105,1649469,1339220,280416,https://www.icmr.gov.in/,47,0,77,279,63,72,414,0,0,0,0,0,0,0,,,1332900000,Manipur,3103000
21,Meghalaya,96953,95324,1628,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,2625742,1446918,1087797,91027,https://www.icmr.gov.in/,47,0,77,279,63,72,414,2,0,0,2,0,0,0,,,1332900000,Meghalaya,3224000
22,Mizoram,239542,238802,733,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,1793298,894318,750177,148803,https://www.icmr.gov.in/,47,0,77,279,63,72,414,0,0,0,0,1,7,0,,,1332900000,Mizoram,1192000
23,Madhya Pradesh,1056351,1045561,10786,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,133940165,60749440,59233141,13957584,https://www.icmr.gov.in/,47,0,77,279,63,72,414,1,0,3,4,0,1,0,,,1332900000,Madhya Pradesh,82232000
24,Nagaland,36029,35247,782,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,1739837,923955,744983,70899,https://www.icmr.gov.in/,47,0,77,279,63,72,414,0,0,0,0,0,0,0,,,1332900000,Nagaland,2150000
25,Odisha,1348265,1338989,9215,2023-06-29,TT,44994144,531905,44460690,2023-06-29 12:00:03.394683,932445276,2023-06-28 00:00:00,58087,2206711045,1027412299,951978910,227319836,81545958,35250844,33012188,13282926,https://www.icmr.gov.in/,47,0,77,279,63,72,414,0,0,0,0,1,1,0,,,1332900000,Odisha,43671000
