"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 26-10-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","15","81","300817","299707 [26] ↑","99.63%","1029","21","13","59","5711720"
"2","Faridabad","4","25","135685","134919 [7] ↑","99.44%","741","1","7","36","4182618"
"3  Hisar","","0","2","63872","62688","98.15%","1182","4","2","2","2438693"
"4","Sonipat","0","1","59584","59307","99.54%","276","11","36","21","2359993"
"5","Karnal","0","2","49911","49309 [3] ↑","98.79%","600","1","9","17","2468869"
"6","Panchkula","0","28","48388","47939","99.07%","421","3","0","11","1178693"
"7","Ambala","1","2","42838","42294 [1] ↑","98.73%","542","0","2","12","2209610"
"8","Panipat","1","4","36761","36080 [2] ↑","98.15%","677","2","5","10","2130878"
"9","Sirsa","0","0","34216","33670","98.40%","546","0","1","2","1989980"
"10  Rohtak","","0","1","33193","32638 [5] ↑","98.33%","537","0","5","51","1815756"
"","11  Yamunanagar","5","5","32710","32247","98.58%","458","1","4","15","2041248"
"12  Kurukshetra","","0","2","27830","27420 [1] ↑","98.53%","408","1","6","23","1628284"
"13  Bhiwani","","0","1","27190","26522","97.54%","667","0","0","0","1882981"
"14","Jind","0","3","25418","24871 [2] ↑","97.85%","544","1","3","11","1782744"
"","15  Mahendragarh","0","1","25008","24842","99.34%","165","3","3","42","1449995"
"16  Rewari","","0","0","24988","24764 [1] ↑","99.10%","224","1","2","5","1629407"
"17","Jhajjar","0","0","24108","23747","98.50%","355","5","2","39","1635578"
"18  Fatehabad","","0","3","20298","19795","97.52%","500","4","5","17","1215729"
"19  Kaithal","","1","2","15210","14832 [1] ↑","97.51%","376","2","1","56","1901583"
"20  Palwal","","2","2","13660","13482 [1] ↑","98.70%","176","0","0","2","1578081"
"","21  Charkhi Dadri","0","0","8077","7930","98.18%","147","3","1","26","956667"
"22  Nuh","","0","1","6179","6039","97.73%","139","0","0","0","1227294"
"HARYANA","","29","166","1055941","1045042 [50] ↑","98.97%","10710","64","107","457","45416401"
