"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,79,205"
"2","Number of persons tested positive today in Tamil Nadu","28,547"
"","Passengers returned from other countries  by 
International airport tested positive today","UK - 1"
"","Passengers returned from other states by Road tested 
positive today","Andhra Pradesh - 6 
Odisha - 2 
West Bengal - 2 
Tripura - 1 
Maharashtra - 1 
Kerala - 1"
"","Total","28,561"
"3","Total Number of persons tested positive till date","30,42,796"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,54,912/ 
6,01,35,832@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,48,253/ 
5,91,55,335"
"6","No. of Male / Female / Transgender tested positive today","16,234/12,327/0"
"7","No. of Male / Female / Transgender tested positive till date","17,77,006/12,65,752/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","326 (69 Govt+ 
257$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","19,978/ 
28,26,479"
"10","Total number of deaths today/ till date","39(19 Private &  
20 Govt) /37,112"
