"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","101374","8563","90653","2158"
"2","SAS Nagar","84012","9016","73901","1095"
"3","Jalandhar","72056","4679","65856","1521"
"4","Patiala","59864","2697","55760","1407"
"5","Amritsar","54569","3915","49031","1623"
"6","Bathinda","46861","3153","42649","1059"
"7","Hoshiarpur","35789","2857","31919","1013"
"8","Gurdaspur","25168","1424","22927","817"
"9","Pathankot","22684","1058","21181","445"
"10","Fazilka","21302","846","19922","534"
"11","Kapurthala","20068","1049","18463","556"
"12","Muktsar","19799","736","18538","525"
"13","Sangrur","16971","602","15485","884"
"14","Mansa","16523","721","15419","383"
"15","Ferozepur","15860","705","14647","508"
"16","Ropar","15641","1297","13915","429"
"17","Faridkot","15041","680","14040","321"
"18","SBS Nagar","12668","857","11420","391"
"19","FG Sahib","10893","781","9768","344"
"20","Moga","9489","501","8751","237"
"21","Tarn Taran","9222","878","7961","383"
"22","Barnala","6672","385","6038","249"
"","Total","692526","47400","628244","16882"
