District,Recovered,Deceased,Active
लखनऊ,261376,2659,16022
गौतम बिु नगर,85548,471,5807
गाज़ियाबाद,75805,467,4027
मरेठ,81763,917,3853
कानपरु नगर,85268,1911,3553
िाराणसी,90811,976,3082
प्रयागराज,81504,1094,2613
झासी,38095,664,2471
आगरा,31814,460,2196
मजुफ्फरनगर,35015,271,2120
बरेली,46625,377,1844
गोरखपरु,62108,852,1821
बलुदंशहर,23142,246,1614
लखीमपरु-खीरी,25321,297,1508
मरुादाबाद,43778,358,1443
सहारनपरु,35939,422,1441
बाराबकंी,21136,225,1249
राय बरेली,17846,344,1162
हरदोई,14659,353,1135
शाहजहांपरु,21288,445,1039
बदाय,15823,101,1025
अलीगढ,23677,111,990
शामली,14661,47,987
सीतापरु,13118,186,950
बबजनौर,16213,126,918
इटावा,14301,295,887
मथरुा,23819,405,879
अमरोहा,17580,205,808
सलु्तानपरु,15423,140,726
गाजीपरु,22267,285,720
गोंडा,12691,273,717
हापड़ु,13874,218,697
एटा,10706,100,674
बहराइच,11874,178,658
फरु्रखाबाद,10664,195,658
जालौन,11769,204,657
सोनभद्र,17286,253,601
रामपरु,13643,151,580
ससद्धाथ ुनगर,9815,101,580
देवररया,20627,225,566
पीलीभीत,11215,195,566
आजमगढ़,18126,231,553
लसलतपरु,12978,130,539
