,Unnamed: 0,S.No.,Unnamed: 1,जनपद का नाम,Unnamed: 2,विगत 24 घटंों कीअिधि म  ससंधूितपषु्ट रोगी,Unnamed: 3,विगत 24 घटंों कीअिधि म  ससंधूितडिस्िाज,Unnamed: 4,आज तक कुलडिस्िाज,Unnamed: 5,विगत 24 घटंों कीअिधि म  ससंधूितमतृ्य,Unnamed: 6,कोविििनात्मकरोधगयों मकुल मतृ्य ु*,Unnamed: 7,ितमान म कुलसक्रिय केसजे कीसखं्या,Unnamed: 8,Unnamed: 9
0,,1,,लखनऊ,,1854,,3103,,261376,,1,,2659,,16022,,
1,,2,,गौतम बिु नगर,,1046,,1673,,85548,,1,,471,,5807,,
2,,3,,गाज़ियाबाद,,845,,1533,,75805,,2,,467,,4027,,
3,,4,,मरेठ,,375,,1037,,81763,,1,,917,,3853,,
4,,5,,कानपरु नगर,,359,,572,,85268,,0,,1911,,3553,,
5,,6,,िाराणसी,,427,,706,,90811,,1,,976,,3082,,
6,,7,,प्रयागराज,,460,,502,,81504,,0,,1094,,2613,,
7,,8,,झासी,,286,,309,,38095,,0,,664,,2471,,
8,,9,,आगरा,,233,,532,,31814,,1,,460,,2196,,
9,,10,,मजुफ्फरनगर,,135,,555,,35015,,0,,271,,2120,,
10,,11,,बरेली,,247,,397,,46625,,0,,377,,1844,,
11,,12,,गोरखपरु,,216,,392,,62108,,0,,852,,1821,,
12,,13,,बलुदंशहर,,107,,311,,23142,,0,,246,,1614,,
13,,14,,लखीमपरु-खीरी,,207,,237,,25321,,0,,297,,1508,,
14,,15,,मरुादाबाद,,167,,378,,43778,,2,,358,,1443,,
15,,16,,सहारनपरु,,180,,401,,35939,,1,,422,,1441,,
16,,17,,बाराबकंी,,164,,298,,21136,,0,,225,,1249,,
17,,18,,राय बरेली,,309,,98,,17846,,0,,344,,1162,,
18,,19,,हरदोई,,79,,377,,14659,,0,,353,,1135,,
19,,20,,शाहजहांपरु,,199,,290,,21288,,0,,445,,1039,,
20,,21,,बदाय,,128,,161,,15823,,0,,101,,1025,,
21,,22,,अलीगढ,,118,,218,,23677,,0,,111,,990,,
22,,23,,शामली,,29,,147,,14661,,0,,47,,987,,
23,,24,,सीतापरु,,298,,152,,13118,,0,,186,,950,,
24,,25,,बबजनौर,,70,,253,,16213,,0,,126,,918,,
25,,26,,इटावा,,184,,56,,14301,,0,,295,,887,,
26,,27,,मथरुा,,52,,333,,23819,,0,,405,,879,,
27,,28,,अमरोहा,,50,,165,,17580,,0,,205,,808,,
28,,29,,सलु्तानपरु,,34,,100,,15423,,0,,140,,726,,
29,,30,,गाजीपरु,,112,,126,,22267,,0,,285,,720,,
30,,31,,गोंडा,,37,,134,,12691,,1,,273,,717,,
31,,32,,हापड़ु,,236,,202,,13874,,0,,218,,697,,
32,,33,,एटा,,70,,250,,10706,,0,,100,,674,,
33,,34,,बहराइच,,79,,77,,11874,,0,,178,,658,,
34,,35,,फरु्रखाबाद,,116,,107,,10664,,0,,195,,658,,
35,,36,,जालौन,,101,,113,,11769,,0,,204,,657,,
36,,37,,सोनभद्र,,63,,117,,17286,,0,,253,,601,,
37,,38,,रामपरु,,21,,196,,13643,,0,,151,,580,,
38,,39,,ससद्धाथ ुनगर,,125,,73,,9815,,0,,101,,580,,
39,,40,,देवररया,,117,,80,,20627,,0,,225,,566,,
40,,41,,पीलीभीत,,155,,95,,11215,,1,,195,,566,,
41,,42,,आजमगढ़,,116,,41,,18126,,0,,231,,553,,
42,,43,,लसलतपरु,,128,,67,,12978,,0,,130,,539,,
