"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","507","634","3285"
"Kollam","141","115","1047"
"Pathanamthitta","179","144","284"
"Alappuzha","128","103","279"
"Kottayam","332","121","2624"
"Idukki","100","157","1024"
"Ernakulam","526","402","3576"
"Thrissur","185","169","1742"
"Palakkad","51","135","343"
"Malappuram","91","106","1291"
"Kozhikode","348","260","2854"
"Wayanad","69","19","739"
"Kannur","136","161","910"
"Kasaragod","53","50","458"
"Total","2846","2576","20456"
