"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","394","110170","262","107751","6","2285","134"
"2","SAS Nagar","720","96409","521","95054","2","1150","205"
"3","Jalandhar","207","78477","162","76862","1","1579","36"
"4","Patiala","296","62327","249","60821","0","1457","49"
"5","Amritsar","117","59514","103","57811","0","1682","21"
"6","Bathinda","102","50970","64","49842","0","1088","40"
"7","Hoshiarpur","87","40927","85","39817","0","1096","14"
"8","Gurdaspur","32","26971","28","26101","1","865","5"
"9","Pathankot","78","24609","59","24092","0","495","22"
"10","Fazilka","40","23438","47","22886","0","545","7"
"11","Muktsar","17","22571","18","22028","0","539","4"
"12","Kapurthala","51","22086","45","21497","1","583","6"
"13","Ropar","56","17994","39","17522","0","455","17"
"14","Ferozepur","29","17928","23","17383","0","537","8"
"15","Mansa","11","17239","5","16841","1","393","5"
"16","Faridkot","61","16844","37","16478","0","338","28"
"17","Sangrur","5","14314","4","13577","0","735","2"
"18","SBS Nagar","28","13430","30","13018","0","409","3"
"19","FG Sahib","42","11876","25","11505","0","354","17"
"20","Moga","13","11001","11","10742","1","255","4"
"21","Tarn Taran","14","10911","6","10511","0","394","6"
"22","Barnala","8","7505","12","7155","0","349","1"
"23","Malerkotla","8","3976","8","3799","0","176","1"
"","Total","2416","761487","1843","743093","13","17759","635"
