,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,2021-12-26,TR,Dhalai,,,,7064,36,7017,,2021-12-27 11:55:25.358567,,,,85005,829,84128,
1,2021-12-26,TR,Gomati,,,,8171,75,8089,,2021-12-27 11:55:25.358567,,,,85005,829,84128,
2,2021-12-26,TR,Khowai,,,,4575,54,4521,,2021-12-27 11:55:25.358567,,,,85005,829,84128,
3,2021-12-26,TR,North Tripura,,,,7344,34,7302,,2021-12-27 11:55:25.358567,,,,85005,829,84128,
4,2021-12-26,TR,Sipahijala,,,,6377,76,6298,,2021-12-27 11:55:25.358567,,,,85005,829,84128,
5,2021-12-26,TR,South Tripura,,,,10205,54,10146,,2021-12-27 11:55:25.358567,,,,85005,829,84128,
6,2021-12-26,TR,Unokoti,,,,8623,68,8551,,2021-12-27 11:55:25.358567,,,,85005,829,84128,
7,2021-12-26,TR,West Tripura,,,,32643,429,32140,,2021-12-27 11:55:25.358567,,,,85005,829,84128,
8,2021-12-26,TR,Unknown,,,,3,3,64,,2021-12-27 11:55:25.358567,,,,85005,829,84128,
