"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19882","19602","13","267"
"2","Chengalpattu","235109","231993","459","2657"
"3","Chennai","750124","739971","1088","9065"
"4","Coimbatore","329609","326388","607","2614"
"5","Cuddalore","74210","73240","77","893"
"6","Dharmapuri","36167","35846","38","283"
"7","Dindigul","37460","36774","21","665"
"8","Erode","132616","131688","194","734"
"9","Kallakurichi","36513","36284","14","215"
"10","Kancheepuram","94315","92867","146","1302"
"11","Kanyakumari","86164","84959","120","1085"
"12","Karur","29748","29341","35","372"
"13","Krishnagiri","59599","59152","77","370"
"14","Madurai","91008","89722","50","1236"
"15","Mayiladuthurai","26494","26153","12","329"
"16","Nagapattinam","25432","25026","31","375"
"17","Namakkal","67975","67342","99","534"
"18","Nilgiris","42020","41620","174","226"
"19","Perambalur","14456","14198","9","249"
"20","Pudukottai","34452","33999","27","426"
"21","Ramanathapuram","24658","24271","19","368"
"22","Ranipet","53904","53084","33","787"
"23","Salem","127309","125406","141","1762"
"24","Sivagangai","23797","23521","57","219"
"25","Tenkasi","32734","32236","8","490"
"26","Thanjavur","92084","90963","83","1038"
"27","Theni","50588","50045","11","532"
"28","Thirupathur","35722","35081","8","633"
"29","Thiruvallur","147351","145235","178","1938"
"30","Thiruvannamalai","66778","66056","38","684"
"31","Thiruvarur","47998","47477","49","472"
"32","Thoothukudi","64933","64444","42","447"
"33","Tirunelveli","62733","62248","40","445"
"34","Tiruppur","129847","128652","143","1052"
"35","Trichy","94892","93602","130","1160"
"36","Vellore","57213","55964","86","1163"
"37","Villupuram","54573","54165","42","366"
"38","Virudhunagar","56799","56211","34","554"
"39","Airport Surveillance 
(International)","1243","1238","4","1"
"40","Airport Surveillance 
(Domestic)","1104","1103","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,50,041","34,07,595","4,437","38,009"
