"S. No","Subject","Number"
"1","Total Number of people vaccinated on 23rd Sep","5,95,596"
"2","First Dose on 23rd Sep","3,95,990"
"3","Second Dose on 23rd Sep","1,99,606"
"4","Cumulative Vaccination till 23rd Sep","5,34,56,771"
"5","Cumulative Vaccination First Dose","3,80,10,731"
"6","Cumulative Vaccination Second Dose","1,54,46,040"
"7","Number of CVC (Common Vaccination Centres)","3,022"
"8","Cumulative AEFI cases reported","4,412"
"9","Vaccine wastage","-7%"
