Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
2022-05-03,HP,Bilaspur,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,18235,95,18139,,2022-05-03 19:55:43.485676,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,284832,4115,280641,,19,1
2022-05-03,HP,Chamba,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,16117,171,15943,,2022-05-03 19:55:43.485693,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,284832,4115,280641,,19,2
2022-05-03,HP,Hamirpur,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,23338,329,23004,,2022-05-03 19:55:43.485694,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,284832,4115,280641,,19,1
2022-05-03,HP,Kangra,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,63801,1246,62526,,2022-05-03 19:55:43.485696,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,284832,4115,280641,,19,7
2022-05-03,HP,Kinnaur,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,4449,41,4405,,2022-05-03 19:55:43.485698,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,284832,4115,280641,,19,0
2022-05-03,HP,Kullu,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,11966,162,11800,,2022-05-03 19:55:43.485699,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,284832,4115,280641,,19,2
2022-05-03,HP,Lahaul and Spiti,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,3159,18,3141,,2022-05-03 19:55:43.485700,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,284832,4115,280641,,19,0
2022-05-03,HP,Mandi,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,38837,502,38331,,2022-05-03 19:55:43.485702,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,284832,4115,280641,,19,0
2022-05-03,HP,Shimla,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,35723,716,34995,,2022-05-03 19:55:43.485705,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,284832,4115,280641,,19,4
2022-05-03,HP,Sirmaur,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,19865,221,19641,,2022-05-03 19:55:43.485706,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,284832,4115,280641,,19,0
2022-05-03,HP,Solan,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,30631,335,30291,,2022-05-03 19:55:43.485708,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,284832,4115,280641,,19,0
2022-05-03,HP,Una,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,18711,279,18425,,2022-05-03 19:55:43.485709,2022-05-03 17:00:00+05:30,https://twitter.com/nhm_hp,,284832,4115,280641,,19,2
