"Districts","No. of Positive 
Cases Since 
01.01.2022","No. of Positive Cases 
Treated/ Cured Since 
01.01.2022","Active Cases in the 
District","Deaths Since 
01.01.2022","Migrated Positive 
Cases Since 
01.01.2022"
"Almora","4546","4143","2","4","397"
"Bageshwar","2095","2003","1","0","91"
"Chamoli","3221","3104","8","3","106"
"Champawat","1914","1891","2","1","20"
"Dehradun","33617","32873","200","177","367"
"Haridwar","13217","12922","36","25","234"
"Nainital","11419","11314","22","29","54"
"Pauri Garhwal","5295","4301","7","18","969"
"Pithoragarh","2564","2420","3","4","137"
"Rudraprayag","2716","2585","0","2","129"
"Tehri Garhwal","2394","2030","5","5","354"
"U.S. Nagar","8839","8534","8","5","292"
"Uttarkashi","1690","1507","5","5","173"
"Total","93527","89627","299","278","3323"
