"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","3058","113534","3014","110503","37","3016","15"
"2","SAS Nagar","5328","101017","5274","99807","20","1168","42"
"3","Jalandhar","2796","81061","2727","79065","42","1982","14"
"4","Patiala","2117","64197","2083","62466","11","1722","9"
"5","Amritsar","1387","60942","1366","59074","6","1846","22"
"6","Bathinda","1561","52428","1543","50986","4","1427","15"
"7","Hoshiarpur","1287","42396","1241","40973","19","1419","4"
"8","Gurdaspur","345","27272","328","26401","7","871","0"
"9","Pathankot","513","25015","477","24492","4","521","2"
"10","Fazilka","497","23929","494","23297","0","621","11"
"11","Muktsar","278","22830","274","22284","3","542","4"
"12","Kapurthala","543","22572","530","21971","7","599","2"
"13","Ropar","1132","19070","1116","18599","4","459","12"
"14","Ferozepur","469","18362","460","17820","3","540","2"
"15","Mansa","190","17415","187","17023","1","392","0"
"16","Faridkot","378","17214","379","16800","3","414","0"
"17","Sangrur","275","14709","267","13840","9","869","0"
"18","SBS Nagar","462","13864","465","13453","0","409","2"
"19","FG Sahib","708","12623","703","12183","1","437","3"
"20","Moga","245","11244","238","10969","6","272","3"
"21","Tarn Taran","150","11050","141","10646","1","399","5"
"22","Barnala","212","7712","209","7347","7","364","1"
"23","Malerkotla","60","4063","58","3849","3","214","0"
"","Total","23991","784519","23574","763848","198","20503","168"
