"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,200"
"2","Number of persons tested positive today in Tamil Nadu","709"
"","Passengers returned from other states  by Road tested 
positive today","Karnataka - 4 
West Bengal - 2 
Andhra Pradesh - 1 
Kerala - 1 
Bangladesh - 1"
"","Total","718"
"3","Total Number of persons tested positive till date","27,27,635"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,00,562/ 
5,43,70,909@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,00,312/ 
5,34,38,259"
"6","No. of Male / Female / Transgender tested positive today","439/279/0"
"7","No. of Male / Female / Transgender tested positive till date","15,92,082/11,35,515/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","312 (69 Govt+ 
243 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","751/ 
26,82,943"
"10","Total number of deaths today/ till date","11(4 Private &  
7 Govt) /36,492)"
